timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 09:30,-0.00615,-0.11429,-0.00731,-0.12279,47.25,50.468
2025-05-09 19:45,0.03686,-0.12785,-0.06935,-0.29517,37.839,41.058
2025-05-09 20:00,0.02798,-0.12991,-0.07635,-0.29317,38.307,41.11
2025-05-09 20:15,0.02497,-0.13723,-0.08145,-0.29869,37.796,39.509
2025-05-09 20:30,0.01533,-0.13683,-0.08573,-0.29869,37.585,39.973
2025-05-09 20:45,0.00924,-0.13639,-0.09089,-0.29799,38.111,40.501
2025-05-09 21:00,0.0062,-0.13355,-0.09131,-0.29869,37.893,40.541
2025-05-09 21:15,0.00614,-0.13879,-0.09577,-0.30209,37.24,40.461
2025-05-09 21:30,0.00613,-0.13837,-0.09041,-0.29931,37.654,40.201
2025-05-09 21:45,0.0031,-0.13555,-0.09529,-0.29587,37.97,39.79
2025-05-09 22:00,-0.00323,-0.13851,-0.10147,-0.30223,37.146,39.952
2025-05-09 22:15,-0.00621,-0.14045,-0.10561,-0.30279,37.728,39.548
2025-05-09 22:30,-0.01243,-0.13965,-0.10537,-0.29931,37.311,39.702
2025-05-09 22:45,-0.01245,-0.14005,-0.10561,-0.30209,37.869,39.999
2025-05-09 23:00,-0.01243,-0.13923,-0.10511,-0.29791,37.042,40.524
2025-05-09 23:15,-0.01573,-0.14005,-0.11087,-0.30411,37.313,39.859
2025-05-09 23:30,-0.01243,-0.14289,-0.11031,-0.30139,36.737,39.545
2025-05-09 23:45,-0.01555,-0.14289,-0.11263,-0.30139,37.369,40.595
2025-05-10,-0.01855,-0.13879,-0.11235,-0.29791,38.101,40.077
2025-05-10 00:15,-0.01539,-0.14443,-0.11003,-0.29993,37.779,40.17
2025-05-10 00:30,-0.01831,-0.14075,-0.10919,-0.30125,37.771,40.422
2025-05-10 00:45,-0.01523,-0.14355,-0.10665,-0.29853,37.771,40.578
2025-05-10 01:00,-0.02137,-0.14221,-0.11179,-0.29713,38.287,40.419
2025-05-10 01:15,-0.01813,-0.13949,-0.10893,-0.29515,37.94,40.749
2025-05-10 01:30,-0.01825,-0.13949,-0.11155,-0.29783,37.782,39.755
2025-05-10 01:45,-0.01813,-0.13909,-0.10865,-0.29713,37.722,40.113
2025-05-10 02:00,-0.01535,-0.14265,-0.11207,-0.30059,37.577,39.969
2025-05-10 02:15,-0.01831,-0.14311,-0.10919,-0.29783,38.052,39.613
2025-05-10 02:30,-0.01863,-0.14355,-0.10975,-0.30059,37.214,39.605
2025-05-10 02:45,-0.02132999999999999,-0.14311,-0.11155,-0.29783,38.457,40.849
2025-05-10 03:00,-0.01825,-0.14265,-0.11155,-0.29985,37.466,40.845
2025-05-10 03:15,-0.02109,-0.14181,-0.11099,-0.29713,37.052,40.691
2025-05-10 03:30,-0.02125,-0.14221,-0.11409,-0.29985,37.471,40.018
2025-05-10 03:45,-0.01821,-0.14147,-0.11127,-0.29441,38.038,40.169
2025-05-10 04:00,-0.01847,-0.14355,-0.11207,-0.30331,37.78,39.754
2025-05-10 04:15,-0.01825,-0.13635,-0.10893,-0.29515,37.206,40.429
2025-05-10 04:30,-0.02855,-0.14245,-0.12101,-0.29993,37.223,40.448
2025-05-10 04:45,-0.02489,-0.14205,-0.11721,-0.30195,37.644,40.453
2025-05-10 05:00,-0.01863,-0.14485,-0.11003,-0.30195,37.322,40.545
2025-05-10 05:15,-0.02471,-0.14075,-0.11461,-0.29651,38.001,39.821
2025-05-10 05:30,-0.02795,-0.14485,-0.11523,-0.30067,37.752,40.56
2025-05-10 05:45,0,-0.13591,-0.09625,-0.29713,38.633,40.453
2025-05-10 06:00,0.03316,-0.12961,-0.07233,-0.29173,38.53,40.766
2025-05-10 06:15,0.05386,-0.12299,-0.05047,-0.29105,38.95,40.512
2025-05-10 06:30,0.07671,-0.12261,-0.03583,-0.28639,39.422,40.982
2025-05-10 06:45,0.0616,-0.11293,-0.03259,-0.27209,39.294,41.684
2025-05-10 07:00,0.08286,-0.12283,-0.02863,-0.28307,38.671,41.321
2025-05-10 07:15,0.06414,-0.11915,-0.03795,-0.28041,39.082,41.214
2025-05-10 07:30,0.07365,-0.12015,-0.03583,-0.28173,39.618,41.178
2025-05-10 07:45,0.08444,-0.11983,-0.02375,-0.28307,38.819,41.367
2025-05-10 08:00,0.09122,-0.11681,-0.01411,-0.27331,38.608,41.416
2025-05-10 08:15,0.09558,-0.11813,-0.01417,-0.27657,39.436,41.15
2025-05-10 08:30,0.09667,-0.11751,-0.01175,-0.27593,40.111,40.683
2025-05-10 08:45,0.19435,-0.10095,0.06298,-0.26743,40.68,41.824
2025-05-10 09:00,0.20822,-0.09609,0.08497,-0.26439,40.829,42.389
2025-05-10 09:15,0.23488,-0.08397,0.10992,-0.25415,40.725,41.712
2025-05-10 09:30,0.31785,-0.07313,0.17694,-0.24713,40.517,42.493
2025-05-10 09:45,0.47492,-0.04327,0.30785,-0.23061,40.047,43.113
2025-05-10 10:00,0.48274,-0.04259,0.3327,-0.22863,40.307,43.373
2025-05-10 10:15,0.54578,-0.02941,0.37554,-0.22215,39.781,43.158
2025-05-10 10:30,0.5359,-0.03209,0.3735,-0.22419,39.781,44.095
2025-05-10 10:45,0.48381,-0.04293,0.32008,-0.22959,40.084,43.875
2025-05-10 11:00,0.47956,-0.04595,0.31387,-0.23259,40.187,43.977
2025-05-10 11:15,0.41578,-0.05367,0.26675,-0.23707,40.344,43.563
2025-05-10 11:30,0.36272,-0.06527,0.20572,-0.24515,40.608,43.569
2025-05-10 11:45,0.32205,-0.07373,0.17262,-0.25017,39.719,42.524
2025-05-10 12:00,0.30995,-0.07409,0.16624,-0.25135,39.56,42.106
2025-05-10 12:15,0.36037,-0.06847,0.20826,-0.24679,40.176,42.564
2025-05-10 12:30,0.50044,-0.04615,0.33799,-0.23365,39.608,42.828
2025-05-10 12:45,0.52488,-0.04085,0.36228,-0.23167,39.874,43.25
2025-05-10 13:00,0.46166,-0.05497,0.29298,-0.24029,40.292,42.266
2025-05-10 13:15,0.42542,-0.06049,0.26456,-0.24227,39.911,42.559
2025-05-10 13:30,0.38538,-0.06119,0.22569,-0.24595,39.813,42.616
2025-05-10 13:45,0.36348,-0.06921,0.19999,-0.25047,39.76,42.719
2025-05-10 19:30,0.06896,-0.12575,-0.04727,-0.29187,37.796,40.186
2025-05-10 19:45,0.05014,-0.13355,-0.05919,-0.29525,37.76,39.579
2025-05-10 20:00,0.04083,-0.13107,-0.06663,-0.29595,37.701,40.351
2025-05-10 20:15,0.03846,-0.13607,-0.07225,-0.30015,37.856,39.83
2025-05-10 21:15,0.01704,-0.13355,-0.08605,-0.29745,37.348,38.907
2025-05-10 21:30,0.00954,-0.13607,-0.09179,-0.30015,37.709,40.099
2025-05-10 21:45,0.00956,-0.14021,-0.09459,-0.30085,37.466,39.442
2025-05-10 22:00,0.00316,-0.13977,-0.09679,-0.30085,37.666,39.225
2025-05-10 22:15,0,-0.13895,-0.09911,-0.30421,37.411,40.061
2025-05-10 22:30,-0.00317,-0.13895,-0.09861,-0.30223,37.66,38.804
2025-05-10 22:45,-0.00633,-0.14511,-0.10671,-0.30421,37.256,39.49
2025-05-10 23:00,0,-0.14179,-0.10147,-0.30147,36.987,40.624
2025-05-10 23:15,-0.00929,-0.13763,-0.10047,-0.30073,36.883,39.429
2025-05-10 23:30,-0.00953,-0.14511,-0.10671,-0.30223,37.356,39.33
2025-05-10 23:45,-0.00961,-0.14265,-0.10957,-0.30289,36.536,40.02
2025-05-11,-0.01615,-0.14311,-0.10957,-0.30289,37.104,39.494
2025-05-11 00:15,-0.01589,-0.14645,-0.11195,-0.30365,37.381,39.773
2025-05-11 00:30,-0.01893,-0.14797,-0.11139,-0.30421,37.172,40.397
2025-05-11 00:45,-0.01909,-0.14511,-0.11661,-0.30147,36.802,40.441
2025-05-11 01:00,-0.02503,-0.14421,-0.11839,-0.30355,36.748,39.558
2025-05-11 01:15,-0.02503,-0.14089,-0.11811,-0.30073,37.165,39.973
2025-05-11 01:30,-0.02811,-0.14335,-0.12071,-0.30279,37.37,39.19
2025-05-11 01:45,-0.02795,-0.14575,-0.11777,-0.30139,36.739,40.222
2025-05-11 02:00,-0.03741,-0.14575,-0.12565,-0.30209,37.26,40.328
