timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-19 19:30,0,0,NA,NA,NA,NA
2025-05-24 05:30,0,0,NA,NA,NA,NA
2025-06-11 16:45,0.67293,1.06714,0.54458,0.76057,38.174,33.919
2025-06-11 17:00,0.63166,1.00971,0.49061,0.69315,37.771,34.761
2025-06-11 17:15,0.61228,1.00094,0.48338,0.68627,38.569,35.141
2025-06-11 17:30,0.61218,1.02414,0.49748,0.70958,38.507,34.664
2025-06-11 17:45,0.5842,0.98203,0.48214,0.69037,38.762,34.919
2025-06-11 18:00,0.56261,0.94051,0.4602,0.66294,38.704,35.122
2025-06-11 18:15,0.50534,0.84352,0.40456,0.5843,39.083,36.226
2025-06-11 18:30,0.39686,0.68528,0.31112,0.45827,38.512,36.33
2025-06-11 18:45,0.34002,0.58658,0.26592,0.38615,38.719,36.123
2025-06-11 19:00,0.29683,0.51786,0.22846,0.33005,38.295,36.373
2025-06-11 19:15,0.2573,0.44642,0.19458,0.27618,38.822,36.07
2025-06-11 19:30,0.22488,0.39339,0.16576,0.23248,38.402,35.961
2025-06-11 19:45,0.18806,0.34096,0.13582,0.19506,38.414,36.234
2025-06-11 20:00,0.15496,0.27678,0.10672,0.14322,38.166,35.827
2025-06-11 20:15,0.12054,0.21536,0.08245,0.10069,37.847,35.092
2025-06-11 20:30,0.09701,0.17596,0.06087,0.06852,37.338,35.156
2025-06-11 20:45,0.07098,0.13567,0.04344,0.04028,37.954,35.616
2025-06-11 21:00,0.05993,0.11434,0.02816,0.02016,37.602,35.16
2025-06-11 21:15,0.04994,0.09604,0.02172,0.0081,37.546,34.792
2025-06-11 21:30,0.0421,0.08556,0.01529,-0.00205,37.279,34.526
2025-06-11 21:45,0.03652,0.07172,0.01084,-0.01219,37.331,34.888
2025-06-11 22:00,0.0344,0.0647,0.01103,-0.01641,37.231,35.051
2025-06-11 22:15,0.02889,0.0614,0.00436,-0.02031,36.854,35.089
2025-06-11 22:30,0.02352,0.05318,0.00217,-0.02429,37.374,34.933
2025-06-11 22:45,0.02656,0.05636,0.00436,-0.02447,37.127,34.531
2025-06-11 23:00,0.02376,0.05378,-0.00223,-0.02855,37.643,34.215
2025-06-11 23:15,0.02906,0.05102,0.00217,-0.03055,37.695,34.267
2025-06-11 23:30,0.02105,0.05102,-0.00223,-0.03055,37.962,34.274
2025-06-11 23:45,0.02358,0.0455,0.00217,-0.03055,37.651,34.38
2025-06-12,0.02096,0.04538,-0.00223,-0.03253,36.967,34.37
2025-06-12 00:15,0.02364,0.04824,0.00217,-0.03057,37.7,35.102
2025-06-12 00:30,0.0211,0.04562,-0.00223,-0.03269,37.597,34.738
2025-06-12 00:45,0.01577,0.04526,-0.00437,-0.03439,37.694,34.527
2025-06-12 01:00,0.0213,0.0485,0,-0.03055,37.112,34.672
2025-06-12 01:15,0.0186,0.0432,-0.00663,-0.03681,37.061,34.62
2025-06-12 01:30,0.02105,0.043,-0.00223,-0.03667,37.639,34.367
2025-06-12 01:45,0.01591,0.03772,-0.00881,-0.04095,37.629,34.203
2025-06-12 02:00,0.01846,0.04026,-0.00439,-0.04077,38.111,34.008
2025-06-12 02:15,0.01316,0.0376,-0.00663,-0.04085,37.746,34.889
2025-06-12 02:30,0.01846,0.03485,-0.00657,-0.04077,37.44,34.168
2025-06-12 02:45,0.0132,0.0324,-0.01105,-0.04503,37.291,34.537
2025-06-12 03:00,0.01305,0.03476,-0.00659,-0.04277,37.28,34.682
2025-06-12 03:15,0.01052,0.02954,-0.00881,-0.04485,37.178,34.736
2025-06-12 03:30,0.00798,0.02684,-0.01103,-0.04685,37.897,34.211
2025-06-12 03:45,0.00792,0.02956,-0.01317,-0.04695,37.702,34.43
2025-06-12 04:00,0.0132,0.02702,-0.01107,-0.04715,37.759,35.006
2025-06-12 04:15,0.01044,0.02408,-0.00877,-0.04881,37.394,34.795
2025-06-12 04:30,0.01308,0.03754,-0.00879,-0.04085,37.287,34.846
2025-06-12 04:45,0.02094,0.05068,0.00217,-0.02643,37.086,34.902
2025-06-12 05:00,0.04465,0.08556,0.0175,-0.00405,37.698,34.529
2025-06-12 05:15,0.05993,0.11744,0.03046,0.02226,38.179,35.009
2025-06-12 05:30,0.0737,0.14502,0.03946,0.04061,38.744,35.054
2025-06-12 05:45,0.09154,0.17645,0.05666,0.06466,38.315,35.043
2025-06-12 06:00,0.12174,0.21536,0.08016,0.09854,37.808,35.627
2025-06-12 06:15,0.1642,0.29073,0.11522,0.15075,39.096,35.928
2025-06-12 06:30,0.21566,0.38578,0.16146,0.22894,38.564,36.384
2025-06-12 06:45,0.27738,0.48442,0.2155,0.30599,38.84,36.502
2025-06-12 07:00,0.33734,0.5971,0.26968,0.39416,40.04,36.768
2025-06-12 07:15,0.39814,0.69315,0.32092,0.47276,39.722,36.294
2025-06-12 07:30,0.4595,0.78319,0.38121,0.55192,39.193,36.182
2025-06-12 07:45,0.50687,0.85837,0.42184,0.60848,39.877,35.774
2025-06-12 08:00,0.56446,0.94547,0.47164,0.67414,39.357,35.668
2025-06-12 08:15,0.60614,1.01691,0.52001,0.74175,39.765,35.351
2025-06-12 08:30,0.6582,1.07932,0.56002,0.79307,38.607,34.767
2025-06-12 08:45,0.6745,1.08979,0.57273,0.80647,39.077,34.249
2025-06-12 09:00,0.68754,1.10751,0.58434,0.81759,38.311,34.207
2025-06-12 09:15,0.69872,1.12542,0.59686,0.83027,38.355,33.682
2025-06-12 09:30,0.71771,1.13477,0.60954,0.84562,38.407,33.58
2025-06-12 09:45,0.73657,1.17642,0.6276,0.86906,38.718,33.785
2025-06-12 10:00,0.7798,1.21703,0.67837,0.92351,38.305,32.8
2025-06-12 10:15,0.83999,1.28127,0.73051,0.97729,37.421,32.334
2025-06-12 10:30,0.87514,1.33645,0.77149,1.02645,37.321,31.402
2025-06-12 10:45,0.94951,1.40723,0.84133,1.08545,36.591,30.671
2025-06-12 11:00,0.98673,1.44595,0.88575,1.12926,35.813,29.894
2025-06-12 11:15,1.01335,1.47489,0.91498,1.15912,35.862,29.942
2025-06-12 11:30,1.03353,1.48517,0.93885,1.18075,35.136,29.217
2025-06-12 11:45,1.06699,1.53429,0.96153,1.2054,34.87,28.538
2025-06-12 12:00,1.08785,1.54322,0.96995,1.21131,35.091,28.755
2025-06-12 12:15,1.07563,1.55179,0.98901,1.23069,35.03,28.437
2025-06-12 12:30,1.10577,1.57197,1.00143,1.23849,34.3,28.123
2025-06-12 12:45,1.08961,1.5623,0.97953,1.22108,35.082,28.334
2025-06-12 13:00,1.13175,1.57835,0.98693,1.22153,34.666,28.59
2025-06-12 13:15,1.05849,1.5418,0.95733,1.20431,35.224,28.478
2025-06-12 13:30,1.10403,1.57689,0.95869,1.19381,34.556,28.795
2025-06-12 13:45,1.07193,1.54112,0.93297,1.17682,35.125,29.208
2025-06-12 14:00,1.02145,1.52526,0.91097,1.16185,35.342,29.838
2025-06-12 14:15,1.03031,1.51499,0.8875,1.13519,35.534,29.879
2025-06-12 14:30,1.00707,1.49337,0.87135,1.11749,35.638,30.135
2025-06-12 14:45,1.01253,1.46891,0.85099,1.09527,36.174,30.411
2025-06-12 15:00,0.98995,1.46181,0.84173,1.08419,36.634,30.717
2025-06-12 15:15,0.98749,1.48309,0.83945,1.09081,36.012,30.665
2025-06-12 15:30,0.96689,1.42899,0.82083,1.06641,36.786,31.025
2025-06-12 15:45,0.95226,1.42269,0.80778,1.05013,36.631,31.284
2025-06-12 16:00,0.93685,1.40342,0.78673,1.03261,36.478,31.391
2025-06-12 16:15,0.92561,1.41305,0.77293,1.02269,36.382,31.97
2025-06-12 16:30,0.88626,1.36783,0.74103,0.98985,36.795,32.122
2025-06-12 16:45,0.86733,1.33939,0.72601,0.9781,37.516,32.015
2025-06-12 17:00,0.8696,1.35523,0.72591,0.97533,36.837,32.166
2025-06-12 17:15,0.81643,1.28537,0.68575,0.93638,38.085,32.842
2025-06-12 17:30,0.78169,1.23475,0.64826,0.89313,37.92,33.248
2025-06-12 17:45,0.72644,1.14693,0.59125,0.82542,37.928,34.087
2025-06-12 18:00,0.63711,1.03257,0.5108,0.72765,37.987,34.976
2025-06-12 18:15,0.56062,0.91347,0.44389,0.6377,37.998,35.402
2025-06-12 18:30,0.47808,0.80515,0.37486,0.54992,38.351,35.496
2025-06-12 18:45,0.4153,0.69915,0.32048,0.46842,38.499,35.749
2025-06-12 19:00,0.3672,0.61789,0.27838,0.40544,37.678,36.068
2025-06-12 19:15,0.31504,0.54922,0.24184,0.35736,38.039,36.273
2025-06-12 19:30,0.28841,0.50026,0.21832,0.31588,37.878,35.958
2025-06-12 19:45,0.24112,0.4274,0.18112,0.26462,38.13,36.365
2025-06-12 20:00,0.19804,0.35095,0.14586,0.20794,37.466,36.271
2025-06-12 20:15,0.16355,0.28458,0.1147,0.1535,37.048,36.112
2025-06-12 20:30,0.1258,0.22494,0.08396,0.10916,36.534,36.015
2025-06-12 20:45,0.10532,0.195,0.06674,0.08489,37.572,35.393
2025-06-12 21:00,0.09202,0.16322,0.05826,0.05873,37.51,35.07
2025-06-12 21:15,0.08313,0.1496,0.0494,0.04859,36.425,35.491
2025-06-12 21:30,0.07429,0.13458,0.04353,0.03882,37.209,35.029
2025-06-12 21:45,0.06606,0.12346,0.03462,0.02842,37.264,35.342
2025-06-12 22:00,0.06298,0.11619,0.0325,0.0225,37.062,35.038
2025-06-12 22:15,0.05743,0.10959,0.03015,0.0183,37.537,34.94
2025-06-12 22:30,0.05743,0.10702,0.02588,0.0163,36.695,35.345
2025-06-12 22:45,0.05276,0.09913,0.02598,0.00812,37.063,35.039
2025-06-12 23:00,0.05006,0.09913,0.02382,0.01017,36.797,34.616
2025-06-12 23:15,0.05288,0.10476,0.02822,0.01426,36.647,34.882
2025-06-12 23:30,0.04994,0.10192,0.02588,0.01218,36.451,34.683
