timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 19:45,0.3682,-0.06785,0.80413,0.73003,3.259,3.156
2025-05-09 20:00,0.32058,-0.50209,0.94961,0.36042,3.21,3.105
2025-05-09 20:15,0.30872,-0.47641,0.34538,-0.67191,47.856,60.639
2025-05-09 20:30,0.28546,-0.44515,0.34315,-0.53747,25.775,66.169
2025-05-09 20:45,0.28978,-0.41483,0.38702,-0.53311,24.213,78.6
2025-05-09 21:00,0.309,-0.40315,0.45582,-0.53311,26.46,58.812
2025-05-09 21:15,0.26975,-0.39409,0.32947,-0.58425,47.359,47.255
2025-05-09 21:30,0.30959,-0.36881,0.37258,-0.43227,30.209,61.057
2025-05-09 22:00,0.2551,-0.35539,0.3422,-0.55129,31.08,59.678
2025-05-09 22:15,0.26238,-0.39845,0.33801,-0.55585,31.605,62.291
2025-05-09 22:30,0.25974,-0.37181,0.39048,-0.51579,29.996,56.937
2025-05-09 22:45,0.24329,-0.36521,-1.29613,-0.53695,37.702,51.907
2025-05-09 23:00,0.24899,-0.36521,2.82127,-0.55783,3.01,70.483
2025-05-09 23:30,0.22989,-0.36721,0.33324,-0.54961,32.706,77.125
2025-05-09 23:45,0.21811,-0.36579,0.32996,-0.55423,34.207,79.719
2025-05-10,0.23414,-0.35871,2.79214,-0.55693,3.011,61.751
2025-05-10 00:30,0.23222,-0.35991,2.78572,-0.54981,3.011,60.757
2025-05-10 01:00,0.21811,-0.33383,0.30988,-0.50723,32.668,63.368
2025-05-10 01:15,0.23592,-0.31269,2.78577,-0.46701,3.011,73.815
2025-05-10 02:15,0.21811,-0.30893,-1.26029,-0.49055,32.301,51.924
2025-05-10 02:30,0.21031,-0.31677,-1.26905,-0.47735,34.127,59.992
2025-05-10 03:00,0.19878,-0.29523,-1.25281,-0.45567,31.885,54.002
2025-05-10 03:30,0.21646,-0.29969,2.72576,-0.47659,3.01,58.542
2025-05-10 04:00,0.20948,-0.29071,-1.22665,-0.47437,32.618,56.087
2025-05-10 04:15,0.21714,-0.28771,2.71201,-0.46285,3.01,62.592
2025-05-10 04:30,0.22744,-0.28771,-1.19653,-0.46633,33.563,58.028
2025-05-10 05:15,0.21796,-0.26651,2.66114,-0.43701,3.011,54.273
2025-05-10 05:30,0.22657,-0.24203,2.66977,-0.41857,3.011,54.533
2025-05-10 06:15,0.23392,-0.13355,2.62065,-0.30547,3.01,57.175
2025-05-10 06:30,0.31398,-0.07151,-1.12173,-0.25695,33.704,55.244
2025-05-10 06:45,0.3402,0,-1.10297,-0.19899,33.307,53.763
2025-05-10 07:30,0.42344,0.18412,0.47805,-0.03393,35.271,53.327
2025-05-10 07:45,0.46,0.26144,-1.06929,0.02968,34.944,55.653
2025-05-10 08:00,0.4917,0.32541,0.53062,0.08443,35.986,53.363
2025-05-10 08:30,0.56237,0.45822,2.83397,0.20024,3.011,52.698
2025-05-10 08:45,0.61982,0.62488,0.6686,0.35426,35.628,49.416
2025-05-10 09:00,0.6617,0.67854,-0.93605,0.39212,35.213,51.347
2025-05-10 09:15,0.6773,0.74798,0.73561,-1.74148,35.533,50
2025-05-10 09:30,0.70365,0.80577,-0.89173,0.51697,36.045,47.596
2025-05-10 09:45,0.71951,0.83012,0.77285,0.53464,35.056,49.935
2025-05-10 10:15,0.72197,0.85528,-0.88857,0.56414,34.535,46.92
2025-05-10 10:30,0.73308,0.87957,0.80829,-1.67888,33.597,46.813
2025-05-10 10:45,0.73007,0.89303,0.80521,0.57079,35.048,47.429
2025-05-10 11:00,0.74455,0.90263,2.89061,0.58778,3.01,47.7
2025-05-10 11:15,0.75043,0.92147,0.83417,0.60114,35.048,48.263
2025-05-10 11:30,0.74567,0.94247,-0.89381,0.60466,34.682,47.064
2025-05-10 11:45,0.78433,0.94057,0.86093,0.53686,34.468,46.276
2025-05-10 12:00,0.78897,0.94397,0.85872,0.60322,35.242,47.047
2025-05-10 12:30,0.81597,0.93713,0.88902,0.59918,35.138,47.101
2025-05-10 12:45,0.79251,0.92157,0.87186,0.4997,34.463,46.424
2025-05-10 13:00,0.80647,0.93905,0.87787,0.59322,34.63,46.335
2025-05-10 13:15,0.79053,0.93047,0.4953,0.58598,34.987,47.364
2025-05-10 13:30,0.78423,0.90553,0.86055,0.56041,34.306,47.929
2025-05-10 13:45,0.73007,0.85669,0.80782,0.52755,34.725,50.016
2025-05-10 18:45,0.32059,-0.02635,0.50152,-0.23841,3.521,55.835
2025-05-10 19:00,0.33324,-0.04605,0.29378,-0.26081,31.661,60.266
2025-05-10 19:45,0.24981,-0.14273,0.34667,-0.33963,32.429,58.53
2025-05-10 20:00,0.27108,-0.15495,0.3725,-0.35023,32.702,55.899
2025-05-10 20:15,0.21878,-0.17005,0.3096,-0.36317,31.87,57.148
2025-05-10 21:15,0.25952,-0.25217,0.39445,-0.44033,3.572,58.633
2025-05-10 21:30,0.23522,-0.21851,0.146,-0.39435,32.327,56.505
2025-05-10 21:45,0.22056,-0.21975,0.33644,-0.40001,33.422,55.209
2025-05-10 22:00,0.19238,-0.22433,0.31422,-0.40363,31.918,55.527
2025-05-10 22:30,0.22141,-0.22661,0.32499,-0.39999,31.615,54.403
2025-05-10 22:45,0.18656,-0.21293,-1.09677,-0.38377,32.293,54.664
2025-05-10 23:15,0.19912,-0.21187,0.30712,-0.38037,31.553,53.347
2025-05-10 23:45,0.18091,-0.21513,0.29811,-0.38545,31.458,53.256
2025-05-11 00:45,0.16674,-0.20975,0.29049,-0.37179,31.409,53.364
2025-05-11 01:00,0.15534,-0.22093,0.27835,-0.38233,32.713,53.836
2025-05-11 01:30,0.14142,-0.20975,0.2707,-0.36133,32.553,49.357
2025-05-11 01:45,0.13666,-0.21869,0.27266,-0.37179,33.595,53.886
2025-05-11 02:30,0.13558,-0.21007,0.26154,-0.36029,33.24,52.289
