timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 19:45,-0.04139,-0.11297,-0.13659,-0.33803,37.404,34.55
2025-05-09 20:00,-0.04739,-0.11333,-0.14261,-0.33993,37.027,35.004
2025-05-09 20:15,-0.05301,-0.11611,-0.14697,-0.34165,36.269,34.347
2025-05-09 20:30,-0.05309,-0.11673,-0.14261,-0.33889,37.102,34.662
2025-05-09 20:45,-0.05581,-0.11881,-0.14661,-0.34097,37.723,34.713
2025-05-09 21:00,-0.05331,-0.11637,-0.14293,-0.33993,36.436,34.93
2025-05-09 21:15,-0.05599,-0.11917,-0.14477,-0.34405,36.893,34.557
2025-05-09 21:30,-0.05619,-0.11949,-0.14293,-0.34061,37.1,34.246
2025-05-09 21:45,-0.05309,-0.11949,-0.14697,-0.33925,37.206,34.197
2025-05-09 22:00,-0.05423,-0.12091,-0.14615,-0.34379,36.851,34.825
2025-05-09 22:15,-0.05309,-0.12331,-0.14261,-0.34551,36.375,34.35
2025-05-09 22:30,-0.05885,-0.11949,-0.14915,-0.34165,37.51,34.498
2025-05-09 22:45,-0.05633,-0.12299,-0.14513,-0.34233,36.212,34.603
2025-05-09 23:00,-0.05923,-0.12299,-0.14947,-0.34233,36.792,34.352
2025-05-09 23:15,-0.05703,-0.12055,-0.14835,-0.34311,37.2,33.774
2025-05-09 23:30,-0.05937,-0.12645,-0.14767,-0.34379,36.43,34.665
2025-05-09 23:45,-0.06247,-0.12919,-0.15237,-0.34551,36.674,34.651
2025-05-10,-0.05665,-0.12611,-0.14835,-0.34379,36.743,34.562
2025-05-10 00:15,-0.06227,-0.12569,-0.15013,-0.34135,36.588,34.409
2025-05-10 00:30,-0.06169,-0.12533,-0.14697,-0.34233,36.887,34.292
2025-05-10 00:45,-0.06149,-0.12811,-0.15165,-0.34061,37.155,34.56
2025-05-10 01:00,-0.05903,-0.12499,-0.14731,-0.34233,36.434,34.67
2025-05-10 01:15,-0.06169,-0.12533,-0.14947,-0.34311,36.273,34.924
