timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 19:45,0.12203,0.1013,0.13603,0.23276,37.603,3.14
2025-05-09 20:00,0.10532,0.09672,0.11743,0.10318,37.46,34.873
2025-05-09 20:15,0.09067,0.09638,0.10782,0.09948,37.176,34.849
2025-05-09 20:30,0.09528,0.09387,0.10626,0.30388,36.661,3.039
2025-05-09 20:45,0.09692,0.08824,0.10718,0.11808,36.878,3.091
2025-05-09 21:00,0.0983,0.07854,0.10841,0.14617,36.722,3.091
2025-05-09 21:15,0.0842,0.08213,0.09978,0.0916,36.783,35.437
2025-05-09 21:30,0.09599,0.0752,0.10344,0.30078,36.674,3.04
2025-05-09 21:45,0.09159,0.07464,0.10502,0.17617,36.424,3.041
2025-05-09 22:00,0.0898,0.07576,0.10344,0.08568,36.35,35.161
2025-05-09 22:15,0.08203,0.07266,0.2743,0.22624,3.04,3.091
2025-05-09 22:30,0.07972,0.07792,0.31844,0.08498,3.04,35.226
2025-05-09 22:45,0.08822,0.07156,0.09978,0.07978,36.868,34.85
2025-05-09 23:00,0.07748,0.06719,0.0936,0.07954,35.988,34.643
2025-05-09 23:15,0.08574,0.0755,0.0978,0.08904,36.198,34.854
2025-05-09 23:30,0.07778,0.0606,0.09724,0.07452,36.755,34.738
2025-05-09 23:45,0.09159,0.09348,0.36312,0.14207,3.04,3.092
2025-05-10,0.08547,0.086,0.10066,0.27748,36.513,3.039
2025-05-10 00:15,0.08203,0.0788,0.09528,0.09246,36.203,34.599
2025-05-10 00:30,0.08058,0.09913,0.0967,0.10782,36.721,34.96
2025-05-10 00:45,0.08114,0.09955,0.1246,0.23054,3.038,3.09
2025-05-10 01:00,0.07804,0.08992,0.09472,0.30994,36.51,3.039
2025-05-10 01:15,0.08174,0.09316,0.0978,0.09724,36.035,34.433
2025-05-10 01:30,0.07118,0.07943,0.0896,0.08987,36.875,35.27
2025-05-10 01:45,0.08084,0.09316,0.09724,0.10033,37.032,34.445
2025-05-10 02:00,0.08232,0.0824,0.09813,0.0916,36.87,34.284
2025-05-10 02:15,0.06947,0.10024,0.08723,0.10532,36.767,34.75
2025-05-10 02:30,0.07168,0.0791,0.0919,0.18386,36.654,3.039
