timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 19:45,0.1525,0.18624,0.10688,0.08768,38.526,35.522
2025-05-09 20:00,0.13961,0.16978,0.10022,0.07482,38.574,35.154
2025-05-09 20:15,0.12961,0.16021,0.09192,0.06982,38.83,35.154
2025-05-09 20:30,0.12658,0.16021,0.09223,0.07243,38.527,34.848
2025-05-09 20:45,0.12348,0.15717,0.08698,0.0676,38.427,35.007
2025-05-09 21:00,0.12004,0.1501,0.08392,0.06243,38.415,34.997
2025-05-09 21:15,0.12004,0.144,0.08152,0.06016,38.951,35.117
2025-05-09 21:30,0.11739,0.14097,0.07894,0.06016,38.211,35.205
2025-05-09 21:45,0.11048,0.137,0.07568,0.05484,38.578,35.572
2025-05-09 22:00,0.105,0.13178,0.07086,0.05268,38.116,35.265
2025-05-09 22:15,0.10122,0.12516,0.06822,0.04532,38.213,34.536
2025-05-09 22:30,0.10054,0.12434,0.06766,0.04496,37.865,34.444
2025-05-09 22:45,0.10122,0.12206,0.07086,0.0452,37.711,34.965
2025-05-09 23:00,0.09466,0.12516,0.0654,0.0452,38.219,35.214
2025-05-09 23:15,0.09499,0.11504,0.06274,0.04264,38.322,35.471
2025-05-09 23:30,0.09437,0.1147,0.0652,0.04004,37.965,34.701
2025-05-09 23:45,0.09499,0.10882,0.06274,0.03772,38.423,35.003
2025-05-10,0.09124,0.11504,0.05992,0.03772,38.781,35.361
2025-05-10 00:15,0.09124,0.11852,0.05992,0.04276,38.475,35.471
2025-05-10 00:30,0.08812,0.11546,0.06274,0.04036,37.96,34.127
2025-05-10 00:45,0.09713,0.11776,0.06502,0.04004,38.33,34.91
2025-05-10 01:00,0.09124,0.11818,0.06274,0.04276,38.012,34.746
2025-05-10 01:15,0.10086,0.11818,0.068,0.04276,38.543,35.122
2025-05-10 01:30,0.09437,0.11818,0.06256,0.04276,38.227,34.806
2025-05-10 01:45,0.09746,0.1147,0.0654,0.04016,38.541,35.12
2025-05-10 02:00,0.09778,0.11776,0.06256,0.04004,38.226,35.478
