timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 19:45,0.2113,0.12752,0.23914,-0.04145,38.721,36.534
2025-05-09 20:00,0.20946,0.11297,0.27071,-0.05893,43.618,36.848
2025-05-09 20:15,0.17694,0.10102,0.23332,-0.06623,39.21,36.031
2025-05-09 20:30,0.16841,0.09166,0.22895,-0.07115,42.315,36.378
2025-05-09 20:45,0.17752,0.08922,0.23976,-0.07873,42.285,36.346
2025-05-09 21:00,0.17388,0.08228,0.22058,-0.07833,34.42,35.566
2025-05-09 21:15,0.17992,0.08206,0.22506,-0.08289,38.565,35.962
2025-05-09 21:30,0.19607,0.08258,0.25988,-0.08309,43.936,36.177
2025-05-09 21:45,0.13442,0.07315,0.21478,-0.08991,33.837,36.649
2025-05-09 22:00,0.15256,0.07096,0.19144,-0.09327,40.345,35.814
2025-05-09 22:15,0.13928,0.05748,0.18813,-0.10009,38.734,36.964
2025-05-09 22:30,0.12132,0.0606,0.18868,-0.10009,42.283,36.188
2025-05-09 22:45,0.21742,0.05422,0.25692,-0.10713,43.273,36.501
2025-05-09 23:00,0.14258,0.05458,0.21729,-0.10763,35.619,35.932
2025-05-09 23:15,0.16341,0.0511,0.18976,-0.10937,37.43,36.076
2025-05-09 23:30,0.1353,0.04786,0.22823,-0.11189,39.941,36.503
2025-05-09 23:45,0.13394,0.04474,0.19132,-0.11441,37.504,36.566
2025-05-10,0.1438,0.04135,0.1992,-0.11413,37.024,36.503
2025-05-10 00:15,0.11935,0.04786,0.19435,-0.11213,40.164,35.735
2025-05-10 00:30,0.14188,0.04474,0.20843,-0.11241,44.17,36.148
2025-05-10 00:45,0.10772,0.04721,0.15769,-0.11087,34.753,35.742
2025-05-10 01:00,0.1586,0.04443,0.20211,-0.11413,42.436,36.342
2025-05-10 01:15,0.10713,0.04754,0.17382,-0.11385,41.15,35.886
2025-05-10 01:30,0.11656,0.04415,0.16803,-0.11361,40.368,36.355
2025-05-10 01:45,0.12696,0.04738,0.1745,-0.11385,40.217,36.36
2025-05-10 02:00,0.14855,0.04738,0.20843,-0.11361,44.748,35.732
2025-05-10 02:15,0.1511,0.0477,0.24138,-0.11413,40.789,35.682
2025-05-10 02:30,0.13789,0.04415,0.18599,-0.11361,41.929,36.146
2025-05-10 02:45,0.13617,0.04135,0.18499,-0.11413,39.647,35.529
2025-05-10 03:00,0.11087,0.04458,0.18233,-0.11213,37.4,36.046
2025-05-10 03:15,0.1501,0.04754,0.20466,-0.11413,40.443,36.585
2025-05-10 03:30,0.12244,0.04754,0.18389,-0.11161,38.296,36.107
2025-05-10 03:45,0.13394,0.04708,0.1745,-0.10861,37.447,36.092
2025-05-10 04:00,0.09887,0.0477,0.27407,-0.10965,41.143,35.62
2025-05-10 04:15,0.30332,0.05077,0.38096,-0.10965,37.142,35.787
2025-05-10 04:30,0.26778,0.0516,0.31996,-0.11469,38.726,35.441
2025-05-10 04:45,0.34092,0.0483,0.34404,-0.11521,54.784,35.649
2025-05-10 05:00,0.515,0.04458,0.73015,-0.11637,58.535,36.588
2025-05-10 05:15,0.47454,0.04135,0.43815,-0.11637,68.173,36.529
2025-05-10 05:30,0.30481,0.06722,0.44022,-0.10235,47.178,36.072
2025-05-10 05:45,-0.04575,0.08534,0.08934,-0.08767,35.919,36.649
2025-05-10 06:00,0.27372,0.09381,0.36288,-0.08229,62.145,36.749
2025-05-10 06:15,0.48194,0.11332,0.47438,-0.07097,48.427,36.904
2025-05-10 06:30,0.29928,0.1331,0.50954,-0.05679,31.278,37.17
2025-05-10 06:45,0.1291,0.16097,0.27162,-0.04249,49.47,37.266
2025-05-10 07:00,0.30518,0.18744,0.36871,-0.02113,42.638,37.37
2025-05-10 07:15,0.29742,0.1978,0.34012,-0.01415,40.551,37.528
2025-05-10 07:30,0.2317,0.20285,0.34106,-0.01175,42.317,37.625
2025-05-10 07:45,0.36025,0.22453,0.4215,0.00936,41.072,37.787
2025-05-10 08:00,0.39946,0.23564,0.42674,0.0093,31.113,37.684
2025-05-10 08:15,0.2621,0.25088,0.42898,0.02562,37.153,37.727
2025-05-10 08:30,0.33436,0.276,0.39892,0.03956,48.928,38.139
2025-05-10 08:45,0.39587,0.35108,0.5147,0.09423,30.787,38.188
2025-05-10 09:00,0.33026,0.37904,0.41412,0.11211,39.179,39.908
2025-05-10 09:15,0.3427,0.40292,0.40438,0.13442,46.054,38.862
2025-05-10 09:30,0.40179,0.42809,0.44532,0.14744,36.158,38.973
2025-05-10 09:45,0.4116,0.44954,0.45196,0.16284,37.241,38.805
2025-05-10 10:00,0.40298,0.45544,0.47417,0.16949,35.798,39.032
2025-05-10 10:15,0.46584,0.46416,0.52986,0.17573,38.564,38.877
2025-05-10 10:30,0.42518,0.47288,0.47826,0.18478,42.356,39.333
2025-05-10 10:45,0.4561,0.48488,0.5162,0.19215,38.712,38.869
2025-05-10 11:00,0.4353,0.49744,0.49631,0.20611,39.229,39.28
2025-05-10 11:15,0.48699,0.51964,0.54546,0.20751,42.046,38.607
2025-05-10 11:30,0.42468,0.53971,0.50223,0.22467,37.3,39.28
2025-05-10 11:45,0.53339,0.55082,0.6253,0.23972,58.759,39.742
2025-05-10 12:00,0.5619,0.57381,0.62088,0.2462,36.614,39.426
2025-05-10 12:15,0.48091,0.59869000000000006,0.52192,0.26097,39.434,39.484
2025-05-10 12:30,0.43903,0.62569,0.56663,0.27669,37.242,38.805
2025-05-10 12:45,0.43411,0.63677,0.6168,0.29024,37.502,39.899
2025-05-10 13:00,0.52324,0.64623,0.61209,0.3018,34.125,38.607
2025-05-10 13:15,0.56412,0.67729,0.61248,0.31726,38.795,38.952
2025-05-10 13:30,0.54848,0.69768,0.64576,0.3308,31.827,38.965
2025-05-10 13:45,0.56899,0.71355,0.6586,0.34392,35.471,39.536
2025-05-10 18:45,0.40119,0.37705,0.43964,0.1035,37.306,38.868
2025-05-10 19:00,0.37394,0.33484,0.55082,0.07499,40.387,38.042
2025-05-10 19:15,0.32434,0.27763,0.42756,0.03711,38.919,36.885
2025-05-10 19:30,0.31088,0.22812,0.39208,0.00232,40.691,36.833
2025-05-10 19:45,0.24302,0.18351,0.34114,-0.02585,55.704,37.826
2025-05-10 20:00,0.2812,0.15712,0.3504,-0.04045,36.687,37.26
2025-05-10 20:15,0.25834,0.13437,0.28438,-0.05705,39.29,37.101
2025-05-10 21:15,0.10688,0.09692,0.32692,-0.08025,34.291,37.366
2025-05-10 21:30,0.25048,0.0959,0.38254,-0.08329,44.83,36.384
2025-05-10 21:45,0.28497,0.08892,0.39794,-0.08747,40.282,36.685
2025-05-10 22:00,0.14334,0.08258,0.24026,-0.09217,35.902,36.476
2025-05-10 22:15,0.1781,0.07977,0.37388,-0.09263,42.848,36.904
2025-05-10 22:30,0.21452,0.08002,0.29642,-0.09509,45.306,36.439
2025-05-10 22:45,0.12814,0.0703,0.26826,-0.10213,39.241,36.791
2025-05-10 23:00,0.0728,0.07052,0.22058,-0.10263,38.869,36.419
2025-05-10 23:15,0.15314,0.06701,0.26332,-0.10213,42.431,36.905
2025-05-10 23:30,0.21358,0.06448,0.27378,-0.10311,34.026,35.852
2025-05-10 23:45,0.23466,0.06116,0.39681,-0.10511,43.644,36.187
2025-05-11,0.05954,0.05826,0.193,-0.10791,44.885,35.758
2025-05-11 00:15,0.29942,0.05863,0.3397,-0.11099,44.551,36.108
2025-05-11 00:30,0.10532,0.0549,0.42338,-0.11273,43.261,36.222
2025-05-11 00:45,0.12768,0.0483,0.25522,-0.11919,46.012,35.901
2025-05-11 01:00,0.17334,0.04518,0.23268,-0.11949,35.169,35.638
2025-05-11 01:15,0.1308,0.04168,0.29322,-0.11919,35.534,36.003
2025-05-11 01:30,0.03876,0.0354,0.31289,-0.12459,38.458,35.852
2025-05-11 01:45,0.08844,0.03214,0.16896,-0.12427,48.791,35.755
2025-05-11 02:00,0.15874,0.02898,0.24276,-0.12459,45.613,35.496
2025-05-11 02:15,0.13308,0.02254,0.27086,-0.12937,37.89,35.962
2025-05-11 02:30,0,0.02906,0.36204,-0.12971,47.642,35.856
2025-05-11 02:45,0.08194,0.02268,0.2781,-0.13481,46.434,35.488
2025-05-11 03:00,0.1291,0.01613,0.26358,-0.13481,38.879,36.271
2025-05-11 03:15,0.14914,0.02238,0.271,-0.13161,45.82,36.694
2025-05-11 03:30,0.29563,0.01596,0.65112,-0.13641,39.664,35.961
2025-05-11 03:45,-0.10895,0.0129,0.26678,-0.13711,39.21,36.028
2025-05-11 04:00,0.10988,0.00966,0.40754,-0.14159,28.355,35.758
2025-05-11 04:15,0.10746,0.00966,0.15822,-0.14159,43.728,36.378
2025-05-11 04:30,0.11776,0.0097,0.34189,-0.13935,42.86,35.505
2025-05-11 04:45,0.15062,0,0.2587,-0.14261,41.14,35.768
2025-05-11 05:00,0.15913,0,0.22752,-0.14603,40.244,35.55
2025-05-11 05:15,-0.03203,0,0.19325,-0.14603,36.022,35.501
2025-05-11 05:30,-0.00359,0.00962,0.2474,-0.14123,39.605,34.758
2025-05-11 05:45,0.15412,0.01918,0.24606,-0.13387,39.152,36.126
2025-05-11 06:00,0.15121,0.02842,0.35046,-0.12589,45.363,36.235
2025-05-11 06:15,0.15858,0.04738,0.1947,-0.11413,50.115,36.657
2025-05-11 06:30,0.15704,0.0657,0.25853,-0.10187,39.84,36.815
2025-05-11 06:45,0.14127,0.09108,0.26622,-0.08563,45.784,36.916
2025-05-11 07:00,0.19818,0.10824,0.28064,-0.07029,49.843,36.546
2025-05-11 07:15,0.21756,0.1331,0.42413,-0.05869,58.721,36.653
2025-05-11 07:30,0.27256,0.16184,0.44704,-0.03531,56.476,38.011
2025-05-11 07:45,0.24899,0.18914,0.29004,-0.01647,44.373,37.853
2025-05-11 08:00,0.18824,0.2113,0.32252,-0.00233,30.966,37.799
2025-05-11 08:15,0.25796,0.24042,0.48154,0.01625,31.324,38.571
2025-05-11 08:30,-0.06549,0.261,0.50631,0.03245,48.078,38.533
2025-05-11 08:45,0.31486,0.28766,0.38588,0.05301,44.624,38.262
2025-05-11 09:00,0.48298,0.31975,0.54548,0.0739,62.943,38.217
2025-05-11 09:15,0.1971,0.34056,0.68988,0.08698,39.975,38.62
2025-05-11 09:30,0.40069,0.36028,0.73123,0.10078,27.979,38.874
2025-05-11 09:45,0.39292,0.37791,0.74669,0.11424,45.824,38.367
2025-05-11 10:00,-0.15047,0.40544,0.87713,0.12959,49.46,39.608
2025-05-11 10:15,0.55122,0.4243,0.97167,0.1478,54.05,38.927
2025-05-11 10:30,0.07542,0.44322,0.47126,0.16118,51.663,38.889
2025-05-11 10:45,0.29228,0.46704,0.85247,0.17654,79.438,39.558
2025-05-11 11:00,0.80503,0.4907,1.05473,0.19106,39.605,39.084
2025-05-11 11:15,0.6774,0.51891,0.90795,0.20542,36.111,38.925
2025-05-11 11:30,0.4362,0.53252,0.50181,0.2206,43.308,39.868
2025-05-11 11:45,0.74121,0.56021,1.01436,0.23827,60.129,39.596
2025-05-11 12:00,0.78742,0.58916,1.06389,0.2586,55.378,39.277
2025-05-11 12:45,0.537,0.66136,0.83915,0.3051,47.414,39.389
2025-05-11 17:15,0.56362,0.6286,0.61659,0.2659,51.896,38.031
2025-05-11 17:30,0.65186,0.61062,0.89643,0.24984,45.169,38.55
2025-05-11 17:45,0.91049,0.58141,0.95137,0.23342,57.173,38.72
2025-05-11 18:00,0.3554,0.54541,0.95412,0.20984,35.206,38.019
2025-05-11 18:15,0.62028,0.5108,0.65517,0.18396,36.578,38.557
2025-05-11 18:30,0.6643,0.4664,1.10677,0.1566,44.946,38.173
2025-05-11 19:00,0.54262,0.38062,0.83965,0.10046,23.185,38.246
2025-05-11 19:15,0.17512,0.31567,0.78596,0.06117,36.508,37.654
2025-05-11 19:30,0.4656,0.25499,0.82668,0.02135,32.187,37.501
2025-05-11 19:45,-0.00767,0.2101,0.28934,-0.01193,48.041,36.939
2025-05-11 20:00,0.02231,0.17052,0.61212,-0.03569,27.562,36.215
2025-05-11 20:15,-0.02663,0.14516,0.42731,-0.05241,44.447,36.264
2025-05-11 20:30,0.12231,0.12919,0.20786,-0.06195,42.604,36.926
2025-05-11 20:45,-0.36361,0.11318,0.02598,-0.07181,76.063,36.202
2025-05-11 21:00,0.24383,0.11015,0.54066,-0.07641,30.951,36.843
2025-05-11 21:15,0.14883,0.0981,0.31692,-0.08197,36.168,36.481
2025-05-11 21:30,0.22826,0.09038,0.3612,-0.08603,43.043,35.173
2025-05-11 21:45,0.32954,0.08812,0.45257,-0.08911,33.391,36.206
2025-05-11 22:00,0,0.08756,0.42048,-0.09103,23.023,35.844
2025-05-11 22:15,0.19267,0.07816,0.27456,-0.09395,36.311,36.469
2025-05-11 22:30,0.10828,0.07123,0.34616,-0.10053,27.871,36.366
2025-05-11 22:45,0.1079,0.07189,0.27534,-0.10129,35.342,36.229
2025-05-11 23:00,0.08002,0.06468,0.17472,-0.10561,43.638,36.025
2025-05-11 23:15,0.20371,0.06538,0.28766,-0.10615,45.191,35.91
2025-05-11 23:30,0.10387,0.06177,0.26885,-0.10841,40.13,35.855
2025-05-11 23:45,0.13168,0.0584,0.20362,-0.11071,37.58,36.486
2025-05-12,0.19737,0.0523,0.3196,-0.11381,52.658,36.021
