timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 19:45,0.11168,0.07243,0.06404,-0.11469,37.883,34.455
2025-05-09 20:00,0.10252,0.0625,0.05482,-0.11811,38.258,34.415
2025-05-09 20:15,0.08642,0.04914,0.04124,-0.12647,38.47,34.627
2025-05-09 20:30,0.08583,0.04878,0.041,-0.12819,38.289,34.034
2025-05-09 20:45,0.0768,0.04252,0.03606,-0.12775,38.312,34.469
2025-05-09 21:00,0.07408,0.03905,0.03069,-0.13083,38.263,34.159
2025-05-09 21:15,0.06988,0.03506,0.03032,-0.13423,38.953,34.434
2025-05-09 21:30,0.06964,0.0348,0.03016,-0.13321,38.065,34.222
2025-05-09 21:45,0.07059,0.0318,0.0249,-0.13731,38.42,33.748
2025-05-09 22:00,0.06587,0.02908,0.02264,-0.13977,37.094,34.494
2025-05-09 22:15,0.05998,0.02478,0.02208,-0.14237,37.726,34.294
2025-05-09 22:30,0.05692,0.02135,0.01944,-0.14107,37.962,34.117
2025-05-09 22:45,0.05386,0.02506,0.01668,-0.14351,38.387,34.697
2025-05-09 23:00,0.05386,0.02478,0.01384,-0.14237,38.109,34.11
2025-05-09 23:15,0.05074,0.02135,0.0139,-0.14513,37.589,34.316
2025-05-09 23:30,0.05042,0.01416,0.01384,-0.14787,37.704,34.275
2025-05-09 23:45,0.05074,0.01783,0.01113,-0.14587,38.275,33.858
2025-05-10,0.05074,0.01424,0.01397,-0.14899,37.551,33.707
2025-05-10 00:15,0.0438,0.01424,0.00836,-0.14661,38.226,34.381
2025-05-10 00:30,0.0438,0.01072,0.00836,-0.14703,37.866,34.437
2025-05-10 00:45,0.04339,0.01063,0.00828,-0.14825,37.922,33.662
2025-05-10 01:00,0.0474,0.00714,0.00836,-0.14937,37.461,33.613
2025-05-10 01:15,0.04648,0.01404,0.00824,-0.14475,38.7,33.606
2025-05-10 01:30,0.04308,0.01052,0.00548,-0.14751,37.869,34.022
2025-05-10 01:45,0.04682,0.01066,0.01113,-0.14627,37.503,34.074
2025-05-10 02:00,0.04776,0.01068,0.0056,-0.14627,37.035,34.177
2025-05-10 02:15,0.04367,0.01074,0.00837,-0.14703,37.449,34.436
2025-05-10 02:30,0.0474,0.01422,0.00834,-0.14587,37.664,33.662
2025-05-10 02:45,0.03647,0.01422,0.00274,-0.14587,37.634,34.047
2025-05-10 03:00,0.03956,0.02154,0.00554,-0.14045,38.348,34.242
2025-05-10 03:15,0.04574,0.01752,0.00822,-0.14043,38.183,35.17
2025-05-10 03:30,0.04252,0.0175,0.00272,-0.13763,38.649,34.126
2025-05-10 03:45,0.04556,0.02068,0.0108,-0.13789,37.458,35.119
2025-05-10 04:00,0.0511,0.01787,0.00837,-0.13907,38.142,33.722
2025-05-10 04:15,0.04252,0.01728,0.00812,-0.13789,37.525,34.093
2025-05-10 04:30,0.0511,0.01404,0.01104,-0.14561,37.064,34.307
2025-05-10 04:45,0.04664,0.01066,0.01104,-0.14751,37.617,33.769
2025-05-10 05:00,0.0579,0.01072,0.01392,-0.14825,38.029,33.922
2025-05-10 05:15,0.09658,0.05595,0.04928,-0.12015,37.201,34.446
2025-05-10 05:30,0.1385,0.09528,0.08264,-0.09817,37.935,34.762
2025-05-10 05:45,0.15117,0.11818,0.09966,-0.08025,39.018,35.017
2025-05-10 06:00,0.17998,0.13993,0.12567,-0.06645,38.963,35.273
2025-05-10 06:15,0.21883,0.1848,0.15784,-0.03941,38.918,35.072
2025-05-10 06:30,0.26805,0.23166,0.2039,-0.00989,38.762,35.902
2025-05-10 06:45,0.3032,0.26685,0.23732,0.01713,39.137,35.703
2025-05-10 07:00,0.35322,0.31146,0.28232,0.04648,39.216,36.358
2025-05-10 07:15,0.3778,0.33236,0.3007,0.05864,39.478,36.463
2025-05-10 07:30,0.34496,0.3643,0.3126,0.08972,40.931,37.084
2025-05-10 07:45,0.45385,0.38878,0.36453,0.1031,39.333,36.994
2025-05-10 08:00,0.43948,0.38878,0.35979,0.10283,39.116,36.518
2025-05-10 08:15,0.44352,0.39564,0.36699,0.10866,39.174,36.835
2025-05-10 08:30,0.46796,0.41658,0.38526,0.12425,39.287,36.427
2025-05-10 08:45,0.51494,0.48248,0.44136,0.16841,38.663,36.322
2025-05-10 09:00,0.52817,0.47651,0.46382,0.1788,39.013,36.674
