timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 19:45,0.16702,0.27192,0.10978,0.10502,46.044,41.811
2025-05-09 20:00,0.15,0.24248,0.10066,0.08556,45.918,41.009
2025-05-09 20:15,0.1402,0.22014,0.0919,0.06989,45.767,40.859
2025-05-09 20:30,0.13708,0.21413,0.08904,0.06731,45.186,41.105
2025-05-09 20:45,0.13802,0.2088,0.08675,0.06225,45.039,41.217
2025-05-09 21:00,0.12492,0.19899,0.08096,0.05712,44.254,40.69
2025-05-09 21:15,0.12492,0.19287,0.07496,0.0546,45.402,41.165
2025-05-09 21:30,0.12448,0.19524,0.0776,0.05416,44.419,40.441
2025-05-09 21:45,0.12132,0.19153,0.07452,0.0486,44.316,40.235
2025-05-09 22:00,0.11978,0.17674,0.07544,0.04094,43.951,40.129
2025-05-09 22:15,0.111,0.17124,0.06858,0.03781,44.824,40.434
2025-05-09 22:30,0.10782,0.16199,0.06587,0.0299,44.679,40.441
2025-05-09 22:45,0.10816,0.1625,0.06587,0.03271,44.775,40.125
2025-05-09 23:00,0.10105,0.15828,0.05986,0.02442,45.084,40.02
2025-05-09 23:15,0.10105,0.15467,0.05968,0.02442,44.536,40.298
2025-05-09 23:30,0.09787,0.14842,0.06298,0.01906,44.476,40.238
2025-05-09 23:45,0.09755,0.14842,0.05968,0.01906,44.988,39.924
2025-05-10,0.09854,0.14308,0.0604,0.01644,44.162,40.495
2025-05-10 00:15,0.0914,0.14578,0.05422,0.01639,44.471,39.821
2025-05-10 00:30,0.09466,0.14212,0.05712,0.01639,44.577,40.341
2025-05-10 00:45,0.09402,0.14476,0.05679,0.0163,44.834,40.596
2025-05-10 01:00,0.09818,0.13532,0.05712,0.01366,44.933,40.025
2025-05-10 01:15,0.09466,0.14525,0.05404,0.01632,44.433,40.196
2025-05-10 01:30,0.0937,0.1479,0.05679,0.0163,44.677,39.615
