timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-07 17:15,0.4213,0.3864,0.36906,0.28068,43.975,45.532
2025-05-07 17:30,0.43076,0.3789,0.36367,0.27688,43.249,45.222
2025-05-07 17:45,0.40902,0.36973,0.35992,0.26755,42.779,45.167
2025-05-07 18:00,0.41684,0.3585,0.37374,0.26282,43.62,45.178
2025-05-07 18:15,0.40203,0.33862,0.36458,0.24314,43.154,45.545
2025-05-07 18:30,0.37142,0.31676,0.3369,0.23043,43.564,44.031
2025-05-07 18:45,0.36462,0.30214,0.32541,0.21646,43.524,44.667
2025-05-07 19:00,0.35828,0.29217,0.32381,0.21102,43.777,45.493
2025-05-07 19:15,0.32742,0.27315,0.2968,0.20172,42.478,43.619
2025-05-07 19:30,0.31364,0.25684,0.29261,0.18781,43.311,44.869
2025-05-07 19:45,0.31276,0.24772,0.29328,0.17729,42.73,44.549
2025-05-07 20:00,0.3023,0.23092,0.27922,0.16472,42.384,43.527
2025-05-07 20:15,0.29244,0.21615,0.26808,0.15581,42.699,43.842
2025-05-07 20:30,0.25769,0.20542,0.24606,0.14566,41.671,42.553
2025-05-07 20:45,0.28206,0.18406,0.2562,0.13241,42.34,42.653
2025-05-07 21:00,0.20539,0.16354,0.1989,0.1194,41.866,43.269
2025-05-07 21:15,0.2125,0.16732,0.21339,0.12102,40.606,42.84
2025-05-07 21:30,0.21560000000000001,0.15608,0.20338,0.11088,41.664,42.963
2025-05-07 21:45,0.19377,0.14771,0.19414,0.10858,41.508,42.652
2025-05-07 22:00,0.1984,0.1483,0.1982,0.10738,41.469,43.029
2025-05-07 22:15,0.2146,0.1478,0.20812,0.10738,41.937,42.25
2025-05-07 22:30,0.19025,0.14064,0.19632,0.10156,41.665,42.652
2025-05-07 22:45,0.19789,0.13227,0.196,0.0966,42.093,43.652
2025-05-07 23:00,0.18894,0.13014,0.19208,0.09686,41.98,42.45
2025-05-07 23:15,0.19356,0.12112,0.18856,0.09159,41.157,42.871
2025-05-07 23:30,0.17233,0.1159,0.17871,0.08651,40.945,42.764
2025-05-07 23:45,0.11137,0.11015,0.13622,0.08406,40.226,42.359
2025-05-08,0.17216,0.1189,0.18233,0.08651,40.858,42.262
2025-05-08 00:15,0.19744,0.1196,0.19186,0.09108,42.144,42.455
2025-05-08 00:30,0.18182,0.1196,0.18361,0.08819,41.31,43.131
2025-05-08 00:45,0.19398,0.11926,0.18492,0.08819,42.052,42.936
2025-05-08 01:00,0.18934,0.11438,0.18361,0.086,41.729,42.872
2025-05-08 01:15,0.1698,0.11371,0.1713,0.08576,41.991,42.303
2025-05-08 01:30,0.16844,0.10941,0.17112,0.48841,41.946,3.01
2025-05-08 01:45,0.14144,0.11438,0.14502,0.08046,41.844,42.312
2025-05-08 02:00,0.16726,0.1077,0.1668,0.08046,41.269,42.151
2025-05-08 02:15,0.11951,0.10262,0.13019,0.07826,40.138,41.853
2025-05-08 02:30,0.17184,0.10464,0.17046,0.46091,42.209,3.01
2025-05-08 02:45,0.161,0.1023,0.16502,0.07532,42.114,42.426
2025-05-08 03:00,0.15969,0.10638,0.1586,0.07574,42.953,43.003
2025-05-08 03:15,0.17895,0.10703,0.17674,0.07756,43.32,42.539
2025-05-08 03:30,0.11743,0.09834,0.1385,0.0749,42.43,41.91
2025-05-08 03:45,0.15412,0.105,0.15491,0.07803,42.537,42.849
2025-05-08 04:00,0.15162,0.10133,0.1534,0.07776,42.375,42.845
2025-05-08 04:15,0.12244,0.09654,0.12516,0.06994,43.05,41.698
2025-05-08 04:30,0.11876,0.09528,0.15525,0.07226,40.765,42.481
2025-05-08 04:45,0.18796,0.10133,0.17716,0.07776,44.361,41.914
2025-05-08 05:00,0.10948,0.09038,0.10532,0.06742,42.535,41.34
2025-05-08 05:15,0.10749,0.09499,0.12124,0.06938,40.704,43.093
2025-05-08 05:30,0.10443,0.09284,0.10767,0.07262,41.801,42.686
2025-05-08 05:45,0.08624,0.09892,0.08544,0.07262,41.853,42.323
2025-05-08 06:00,0.11648,0.09678,0.11636,0.07166,42.012,43.573
2025-05-08 06:15,0.15542,0.11332,0.1527,0.08313,42.53,42.01
2025-05-08 06:30,0.16616,0.12181,0.16288,0.09134,44.465,43.113
2025-05-08 06:45,0.1592,0.13353,0.15336,0.09899,43.362,43.258
2025-05-08 07:00,0.19414,0.14644,0.18757,0.11028,43.313,43.054
2025-05-08 07:15,0.22488,0.16702,0.21042,0.12359,43.251,44.655
2025-05-08 07:30,0.2291,0.1795,-0.81097,0.13462,43.402,44.805
2025-05-08 07:45,0.23513,0.19194,0.22154,0.13936,43.508,44.652
2025-05-08 08:00,0.25698,0.20313,0.2385,0.1474,43.474,44.617
2025-05-08 08:15,0.26212,0.21621,0.24228,0.15834,43.655,45.215
2025-05-08 08:30,0.27914,0.23564,0.25794,0.1698,43.553,45.111
2025-05-08 08:45,0.29464,0.24542,0.26904,0.18082,44.035,44.347
2025-05-08 09:00,0.30425,0.27226,0.29174,0.2015,45.408,45.044
2025-05-08 09:15,0.38593,0.30192,0.3369,0.22009,44.528,45.257
2025-05-08 09:30,0.39028,0.32339,0.33526,0.23898,44.481,46.039
2025-05-08 09:45,0.39794,0.3422,0.3609,0.24992,46.55,46.603
2025-05-08 10:00,0.41088,0.36514,0.3745,0.26732,45.776,46.504
2025-05-08 10:15,0.45968,0.39028,0.41812,0.28298,45.252,46.55
2025-05-08 10:30,0.44602,0.40796,0.40738,0.30016,45.558,46.545
2025-05-08 10:45,0.5657,0.40284,0.39424,0.28766,41.295,46.594
2025-05-08 11:00,0.50564,0.39275,0.44688,0.28141,44.904,46.725
2025-05-08 11:15,0.39674,0.37726,0.35128,0.27268,45.506,46.233
2025-05-08 11:30,0.43147,0.39414,0.3901,0.28766,45,46.559
2025-05-08 11:45,0.4538,0.40921,0.4006,0.3032,43.22,46.598
2025-05-08 12:00,0.45642,0.43712,0.4157,0.32049,44.254,47.321
2025-05-08 12:15,0.51482000000000006,0.4705,0.46747,0.34551,46.598,47.325
2025-05-08 12:30,0.53752,0.48369,0.48391,0.35278,46.799,47.942
2025-05-08 12:45,0.53193,0.49292,0.44982,0.35246,43.525,47.578
2025-05-08 13:00,0.45916,0.45913,0.41968,0.3314,46.077,47.48
2025-05-08 13:15,0.49548,0.47584,0.45426,0.34962,47.164,47.633
2025-05-08 13:30,0.62598,0.5059,0.50828,0.3612,43.421,47.474
2025-05-08 13:45,0.46374,0.4907,0.41692,0.35924,43.788,47.839
2025-05-08 14:00,0.57724,0.47598,0.49766,0.3424,43.524,47.576
2025-05-08 14:15,0.58561,0.462,0.43368,0.3268,44.134,47.51
2025-05-08 14:30,0.6093,0.50917,0.46063,0.36218,45.079,47.052
2025-05-08 14:45,0.49194,0.47489,0.47769,0.34831,46.42,48.135
2025-05-08 15:00,0.55386,0.47246,0.44897,0.34511,44.919,46.476
2025-05-08 15:15,0.46448,0.46162,0.4103,0.3392,46.28,46.436
2025-05-08 15:30,0.4743,0.45343,0.4339,0.33417,46.075,47.634
2025-05-08 15:45,0.42948,0.46056,0.40357,0.33786,46.027,47.014
2025-05-08 16:00,0.55705,0.45725,0.48428,0.32646,45.206,47.596
2025-05-08 16:15,0.45609,0.43462,0.41968,0.31496,45.768,47.171
2025-05-08 16:30,0.45288,0.42233,0.42486,0.30352,45.146,46.446
2025-05-08 16:45,0.60768,0.40152,0.5108,0.28448,43.016,45.667
