timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-09 16:45,0.36411,0.30492,0.34934,0.28209,66.697,58.09
2025-05-09 17:00,0.3833,0.34831,0.36621,0.32101,63.185,57.844
2025-05-09 17:15,0.34901,0.3441,0.34352,0.31125,62.675,57.085
2025-05-09 17:30,0.35229,0.32212,0.34254,0.29598,64.566,57.466
2025-05-09 17:45,0.356,0.33134,0.33996,0.30451,63.747,57.652
2025-05-09 18:00,0.33102,0.31681,0.31958,0.29465,63.553,56.707
2025-05-09 18:15,0.30008,0.31094,0.28916,0.28484,61.487,57.152
2025-05-09 18:30,0.33256,0.30569,0.30538,0.27626,60.168,56.586
2025-05-09 18:45,0.27664,0.26548,0.2661,0.2439,62.241,55.143
2025-05-09 19:00,0.28102,0.25918,0.25692,0.23313,59.789,55.958
2025-05-09 19:15,0.23764,0.24936,0.23385,0.2242,64.692,55.329
2025-05-09 19:30,0.23054,0.22312,0.22072,0.20458,61.799,56.96
2025-05-09 19:45,0.21688,0.21968,0.20726,0.20114,63.119,55.517
2025-05-09 20:00,0.20803,0.21508,0.1984,0.19129,62.172,56.078
2025-05-09 20:15,0.21796,0.208,0.20183,0.18868,61.669,55.825
2025-05-09 20:30,0.19712,0.19857,0.18124,0.17958,61.165,54.82
2025-05-09 20:45,0.18995,0.18324,0.17282,0.16954,58.15,55.576
2025-05-09 21:00,0.17905,0.18037,0.16752,0.16115,60.597,54.504
2025-05-09 21:15,0.19765,0.17846,0.17382,0.16034,59.713,56.132
2025-05-09 21:30,0.16372,0.1653,0.15412,0.148,60.527,54.183
2025-05-09 21:45,0.14269,0.15574,0.1283,0.1388,61.348,54.753
2025-05-09 22:00,0.11372,0.14708,0.1112,0.13156,61.226,55.132
2025-05-09 22:15,0.11776,0.14862,0.10834,0.13744,59.082,55.503
2025-05-09 22:30,0.13659,0.14458,0.12234,0.13284,60.405,56.07
2025-05-09 22:45,0.13353,0.15254,0.12442,0.1402,59.208,54.624
2025-05-09 23:00,0.12616,0.14385,0.12415,0.13284,62.974,55.124
2025-05-09 23:15,0.10004,0.14166,0.0979,0.1361,61.209,55.118
2025-05-09 23:30,0.13206,0.14385,0.12415,0.13284,61.905,55.057
2025-05-09 23:45,0.12758,0.14385,0.1197,0.13284,61.903,56.062
2025-05-10,0.13732,0.13492,0.12234,0.12359,59.902,55.569
2025-05-10 00:15,0.10174,0.1308,0.09955,0.12574,59.714,54.373
2025-05-10 00:30,0.11647,0.13283,0.10878,0.12238,61.788,53.934
2025-05-10 00:45,0.11211,0.1456,0.11034,0.13028,60.592,55.002
2025-05-10 01:00,0.10174,0.13492,0.10004,0.12359,62.414,54.563
2025-05-10 01:15,0.11908,0.1405,0.1112,0.12422,59.828,56.5
2025-05-10 01:30,0.1221,0.13208,0.11155,0.12075,57.254,54.929
2025-05-10 01:45,0.16882,0.14308,0.16139,0.1322,64.479,54.366
2025-05-10 02:00,0.1616,0.13762,0.1427,0.12696,63.657,54.802
2025-05-10 02:15,0.12754,0.12919,0.10916,0.11715,55.808,52.478
2025-05-10 02:30,0.0984,0.12516,0.09631,0.11426,62.463,54.109
2025-05-10 02:45,0.1197,0.12608,0.11211,0.11604,60.966,54.873
2025-05-10 03:00,0.10062,0.12932,0.0984,0.11835,61.394,55.302
2025-05-10 03:15,0.10482,0.12301,0.10376,0.11386,66.044,56.938
2025-05-10 03:30,0.11715,0.13156,0.10588,0.12277,64.293,56.189
2025-05-10 03:45,0.1184,0.13552,0.10998,0.12574,62.214,55.872
2025-05-10 04:00,0.12401,0.14198,0.11438,0.12485,59.126,55.295
2025-05-10 04:15,0.17366,0.14708,0.16054,0.13156,64.28,54.421
2025-05-10 04:30,0.10318,0.12544,0.10208,0.11604,65.916,55.304
2025-05-10 04:45,0.12991,0.1402,0.11712,0.12516,61.838,56.751
