timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-07-01 14:00,0.78655,0.70663,0.44047,0.15168,41.882,47.572
2025-07-01 14:15,0.76877,0.70323,0.42859,0.14693,41.31,47.154
2025-07-01 14:30,0.76483,0.69565,0.41238,0.14732,40.744,47.262
2025-07-01 14:45,0.75316,0.6855,0.4064,0.1385,41.268,47.373
2025-07-01 15:00,0.75375,0.6804,0.4015,0.13384,40.948,46.896
2025-07-01 15:15,0.74877,0.67778,0.40144,0.12716,40.494,46.857
2025-07-01 15:30,0.73939,0.65814,0.39488,0.1187,41.436,47.386
2025-07-01 15:45,0.73548,0.6601,0.39077,0.11955,41.633,47.997
2025-07-01 16:00,0.7353,0.66028,0.38981,0.11926,41.472,46.748
2025-07-01 16:15,0.73215,0.6551,0.37962,0.11689,40.438,46.955
2025-07-01 16:30,0.70461,0.64057,0.38314,0.11162,41.632,46.907
2025-07-01 16:45,0.71999,0.62956,0.3625,0.09769,40.443,47.531
2025-07-01 17:00,0.68846,0.61492,0.36412,0.0924,41.887,47.165
2025-07-01 17:15,0.66096,0.5952,0.34948,0.0776,41.85,47.386
2025-07-01 17:30,0.66499,0.57982,0.34098,0.07068,41.434,47.125
2025-07-01 17:45,0.62894,0.54828,0.31032,0.0531,41.331,47.852
2025-07-01 18:00,0.59562,0.52174,0.2968,0.04062,40.87,47.392
2025-07-01 18:15,0.5713,0.48826,0.27994,0.02033,41.214,47.732
2025-07-01 18:30,0.55102,0.4711,0.2664,0.00764,41.844,47.69
2025-07-01 18:45,0.54703,0.45279,0.25192,-0.00765,41.593,48.371
2025-07-01 19:00,0.52548,0.44148,0.24034,-0.01293,41.322,47.84
2025-07-01 19:15,0.50999,0.41838,0.23523,-0.02587,41.632,47.48
2025-07-01 19:30,0.48133,0.39398,0.21429,-0.04145,41.27,47.22
2025-07-01 19:45,0.45536,0.35956,0.18688,-0.06521,41.011,46.701
2025-07-01 20:00,0.4041,0.32104,0.16452,-0.08683,40.449,46.97
2025-07-01 20:15,0.37155,0.28365,0.1438,-0.10509,41.015,46.859
2025-07-01 20:30,0.34316,0.24514,0.11628,-0.13283,40.559,46.509
2025-07-01 20:45,0.3034,0.21688,0.09746,-0.14925,40.304,45.325
2025-07-01 21:00,0.28862,0.18871,0.07822,-0.16033,40.762,45.886
2025-07-01 21:15,0.25698,0.16063,0.06304,-0.18235,40.392,45.668
2025-07-01 21:30,0.23905,0.14011,0.048,-0.19661,39.634,46.001
2025-07-01 21:45,0.22608,0.13398,0.0356,-0.20019,39.584,44.863
2025-07-01 22:00,0.20896,0.10532,0.03015,-0.21707,40,45.434
2025-07-01 22:15,0.1918,0.0983,0.01524,-0.21707,39.372,44.082
2025-07-01 22:30,0.1853,0.08482,0.00763,-0.22867,39.326,44.45
2025-07-01 22:45,0.17222,0.07408,0.0051,-0.23415,39.473,44.335
2025-07-01 23:00,0.17261,0.07145,0,-0.24097,38.974,45.083
2025-07-01 23:15,0.16594,0.06448,-0.00517,-0.24719,39.028,44.311
2025-07-01 23:30,0.1496,0.05018,-0.01025,-0.25341,39.6,45.298
2025-07-01 23:45,0.14817,0.05675,-0.00761,-0.24653,38.413,44.267
2025-07-02,0.14609,0.04602,-0.01789,-0.25513,39.844,43.883
2025-07-02 00:15,0.13961,0.04287,-0.02051,-0.25341,39.293,44.159
2025-07-02 00:30,0.13558,0.04166,-0.01503,-0.25065,39.966,45.092
2025-07-02 00:45,0.13572,0.04602,-0.02575,-0.25207,38.971,44.925
2025-07-02 01:00,0.1443,0.03963,-0.02333,-0.25973,38.824,44.105
2025-07-02 01:15,0.13226,0.0353,-0.01497,-0.25761,40.461,44.084
2025-07-02 01:30,0.12736,0.03518,-0.02567,-0.25761,39.222,44.088
