timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-07 17:15,0.76046,0.91498,0.77211,1.05677,35.773,28.637
2025-05-07 17:30,0.77645,0.91897,0.78563,1.06852,35.567,28.999
2025-05-07 17:45,0.74451,0.89745,0.76034,1.05314,34.942,29.048
2025-05-07 18:00,0.73561,0.88149,0.75337,1.0382,35.271,28.389
2025-05-07 18:15,0.72578,0.87051,0.73904,1.02449,34.703,28.546
2025-05-07 18:30,0.70127,0.84915,0.7227,1.00759,35.171,28.445
2025-05-07 18:45,0.67694,0.8215,0.70297,0.98883,35.575,28.023
2025-05-07 19:00,0.65076,0.79471,0.68002,0.97139,34.691,28.121
2025-05-07 19:15,0.63276,0.77317,0.66696,0.95143,34.797,28.071
2025-05-07 19:30,0.61484,0.74625,0.64416,0.92561,35.42,28.54
2025-05-07 19:45,0.5848,0.72552,0.62121,0.90908,34.556,28.502
2025-05-07 20:00,0.55369,0.70199,0.60127,0.88641,35.128,27.83
2025-05-07 20:15,0.53282,0.66946,0.57846,0.86367,34.619,27.63
2025-05-07 20:30,0.51454,0.6518,0.56226,0.85441,34.919,27.776
2025-05-07 20:45,0.48717,0.61951,0.54029,0.82882,34.663,27.676
2025-05-07 21:00,0.45492,0.59526,0.51447,0.80874,34.348,27.466
2025-05-07 21:15,0.45879,0.59276,0.51261,0.80383,34.878,27.32
2025-05-07 21:30,0.44159,0.57466,0.50057,0.78538,34.775,27.373
2025-05-07 21:45,0.43902,0.56354,0.49164,0.78275,34.405,27.418
2025-05-07 22:00,0.43549,0.56041,0.48986,0.77611,34.361,27.475
2025-05-07 22:15,0.41353,0.54309,0.4755,0.76433,34.675,26.858
2025-05-07 22:30,0.4212,0.54259,0.47362,0.75929,34.423,26.861
2025-05-07 22:45,0.4008,0.52907,0.46445,0.74817,34.155,26.855
2025-05-07 23:00,0.40197,0.52586,0.4623,0.75289,34.358,27.37
2025-05-07 23:15,0.39736,0.52045,0.45858,0.74597,34.886,27.327
