timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-07 17:15,0.36796,0.30109,0.25934,0.1187,38.207,40.328
2025-05-07 17:30,0.32798,0.28388,0.23118,0.10703,37.603,39.983
2025-05-07 17:45,0.31057,0.26406,0.20888,0.09678,39.741,40.05
2025-05-07 18:00,0.27965,0.2517,0.19589,0.09428,38.03,39.428
2025-05-07 18:15,0.299,0.25005,0.20843,0.08194,38.651,39.79
2025-05-07 18:30,0.2786,0.22908,0.20572,0.07135,37.716,39.682
2025-05-07 18:45,0.26162,0.20832,0.18986,0.06348,37.726,40.262
2025-05-07 19:00,0.21947,0.19438,0.15588,0.0503,39.08,39.805
2025-05-07 19:15,0.2339,0.1781,0.16894,0.04503,37.318,39.543
2025-05-07 19:30,0.23213,0.16594,0.15166,0.02923,36.747,38.716
2025-05-07 19:45,0.22186,0.14238,0.12926,0.01591,37.897,39.191
2025-05-07 20:00,0.20945,0.13442,0.13599,0.01068,36.497,38.309
2025-05-07 20:15,0.13834,0.1022,0.09528,-0.00271,37.902,38.368
2025-05-07 20:30,0.17085,0.10041,0.12402,-0.00805,37.281,38.264
2025-05-07 20:45,0.14026,0.08002,0.08676,-0.02151,37.683,37.321
2025-05-07 21:00,0.15551,0.07458,0.11722,-0.02429,35.982,37.795
2025-05-07 21:15,0.15192,0.05998,0.08442,-0.03487,37.286,38.166
2025-05-07 21:30,0.15191,0.06408,0.11416,-0.03501,37.185,37.082
2025-05-07 21:45,0.15322,0.06164,0.10728,-0.04079,36.1,37.396
2025-05-07 22:00,0.11978,0.04708,0.08037,-0.04595,37.496,38.22
2025-05-07 22:15,0.07938,0.0333,0.05881,-0.05103,37.129,37.182
2025-05-07 22:30,0.12042,0.03296,0.07243,-0.05079,37.279,38.834
2025-05-07 22:45,0.09718,0.03022,0.06691,-0.05121,36.868,37.023
2025-05-07 23:00,0.07532,0.02328,0.0549,-0.05921,37.022,38.008
2025-05-07 23:15,0.10105,0.02717,0.06018,-0.05971,36.196,37.595
2025-05-07 23:30,0.0747,0.01999,0.05008,-0.05921,37.491,38.217
2025-05-07 23:45,0.08324,0.02004,0.0554,-0.06195,36.361,36.828
2025-05-08,0.06448,0.01676,0.0364,-0.06209,37.337,36.819
2025-05-08 00:15,0.06822,0.0099,0.0474,-0.06455,37.295,37.865
2025-05-08 00:30,0.07246,0.01666,0.04808,-0.06209,36.783,37.509
2025-05-08 00:45,0.08723,0.01666,0.06439,-0.06489,37.194,37.921
2025-05-08 01:00,0.10198,0.01672,0.0651,-0.06475,36.535,37.676
2025-05-08 01:15,0.07262,0.01666,0.05502,-0.06475,37.253,37.718
2025-05-08 01:30,0.07574,0.00999,0.05056,-0.07029,37.047,38.448
2025-05-08 01:45,0.09472,0.01348,0.05888,-0.06789,36.777,37.657
2025-05-08 02:00,0.09423,0.01338,0.06004,-0.07013,36.784,37.924
2025-05-08 02:15,0.07365,0.00335,0.0483,-0.07313,36.64,37.936
2025-05-08 02:30,0.07365,0.00678,0.05092,-0.07069,37.302,37.873
2025-05-08 02:45,0.067,0,0.0483,-0.07333,36.683,37.41
2025-05-08 03:00,0.06839,0.00668,0.04166,-0.07049,37.197,37.094
2025-05-08 03:15,0.06782,0.00667,0.05092,-0.07029,36.272,36.999
2025-05-08 03:30,0.09754,0.00668,0.05392,-0.06769,36.436,37.992
2025-05-08 03:45,0.06344,0.00667,0.04342,-0.07049,37.521,37.262
2025-05-08 04:00,0.07174,0.01014,0.0466,-0.07089,36.639,38.195
2025-05-08 04:15,0.05055,0.00674,0.03692,-0.07333,36.941,38.496
