timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-05-07 17:15,0.35851,0.05666,0.32524,0.0175,40.946,37.525
2025-05-07 17:30,0.37174,0.0585,0.33272,0.01043,40.539,37.273
2025-05-07 17:45,0.36916,0.067780000000000007,0.3248,0.02094,40.219,39.855
2025-05-07 18:00,0.36603,0.06988,0.3196,0.01916,40.646,37.793
2025-05-07 18:15,0.356,0.06381,0.31532,0.01577,39.673,37.908
2025-05-07 18:30,0.34404,0.0662,0.307,0.0193,39.867,36.858
2025-05-07 18:45,0.324,0.05966,0.2883,0.01402,39.837,36.827
2025-05-07 19:00,0.31646,0.05523,0.27802,0.01231,40.253,36.413
2025-05-07 19:15,0.30584,0.05284,0.27291,0.0105,40.144,37.29
2025-05-07 19:30,0.29905,0.0508,0.2645,0.01052,40.046,36.621
2025-05-07 19:45,0.28916,0.05092,0.25608,0.01052,39.736,36.571
2025-05-07 20:00,0.28078,0.0489,0.24818,0.01052,40.104,36.523
2025-05-07 20:15,0.27092,0.04452,0.24062,0.00702,39.706,37.264
2025-05-07 20:30,0.25864,0.04452,0.23214,0.00702,39.802,37.05
2025-05-07 20:45,0.25301,0.04252,0.22664,0.00704,39.912,36.485
2025-05-07 21:00,0.23685,0.0404,0.20858,0.00352,39.242,36.646
2025-05-07 21:15,0.22488,0.03804,0.1991,0.00352,39.352,37.015
2025-05-07 21:30,0.20948,0.03586,0.19052,0.00352,39.133,36.952
2025-05-07 21:45,0.2023,0.03366,0.18151,0,38.773,36.177
2025-05-07 22:00,0.19744,0.03156,0.1778,0.00178,39.454,36.442
2025-05-07 22:15,0.19744,0.03149,0.17535,-0.00181,39.499,36.745
2025-05-07 22:30,0.18954,0.03358,0.17172,0.00173,39.914,36.072
2025-05-07 22:45,0.18622,0.0292,0.16836,0.00178,39.448,36.28
2025-05-07 23:00,0.18324,0.02918,0.16628,0,39.77,36.498
2025-05-07 23:15,0.17596,0.0292,0.16178,0,38.782,36.444
2025-05-07 23:30,0.17214,0.0292,0.15898,0,39.829,36.815
2025-05-07 23:45,0.1668,0.02469,0.1545,0,39.205,36.192
2025-05-08,0.1668,0.02461,0.15002,-0.00179,39.889,36.305
2025-05-08 00:15,0.15536,0.02469,0.14516,-0.00179,39.206,36.35
2025-05-08 00:30,0.16066,0.02469,0.14758,-0.00359,39.508,36.496
2025-05-08 00:45,0.16066,0.02244,0.14548,-0.00359,39.243,36.492
2025-05-08 01:00,0.15334,0.02689,0.14134,0,38.987,36.806
2025-05-08 01:15,0.15496,0.02457,0.14038,-0.00179,38.685,36.504
2025-05-08 01:30,0.15124,0.02472,0.13923,0,38.956,36.099
2025-05-08 01:45,0.15458,0.02026,0.14166,-0.00357,39.767,36.496
2025-05-08 02:00,0.14968,0.02014,0.13828,-0.00179,39.157,36.716
2025-05-08 02:15,0.14232,0.02237,0.13617,-0.00359,39.574,36.821
2025-05-08 02:30,0.14516,0.02242,0.13442,-0.00359,39.879,36.295
2025-05-08 02:45,0.14842,0.02026,0.13442,-0.00359,39.675,36.505
2025-05-08 03:00,0.14516,0.01797,0.13442,-0.00535,38.33,36.563
2025-05-08 03:15,0.14156,0.02011,0.13174,-0.00359,38.687,36.349
2025-05-08 03:30,0.13743,0.02016,0.13232,-0.00359,39.159,36.561
2025-05-08 03:45,0.1427,0.02016,0.12994,-0.00359,39.105,36.351
2025-05-08 04:00,0.1402,0.02026,0.1302,-0.00535,39.465,36.037
2025-05-08 04:15,0.1402,0.01565,0.12994,-0.00535,38.902,36.459
2025-05-08 04:30,0.13743,0.02026,0.1302,-0.00357,39.533,36.935
2025-05-08 04:45,0.14232,0.02014,0.12752,-0.00359,39.839,36.826
2025-05-08 05:00,0.1339,0.01787,0.12726,-0.00535,39.156,36.299
2025-05-08 05:15,0.1339,0.01792,0.12276,-0.00535,38.902,36.304
2025-05-08 05:30,0.12831,0.01786,0.1225,-0.00709,39,36.404
2025-05-08 05:45,0.13072,0.02004,0.1225,-0.00359,39.776,36.763
2025-05-08 06:00,0.12792,0.01338,0.1225,-0.00709,38.898,35.884
2025-05-08 06:15,0.13036,0.02002,0.1225,-0.00359,39.365,36.196
2025-05-08 06:30,0.13456,0.0199,0.12401,-0.00359,39.149,35.979
2025-05-08 06:45,0.1287,0.01762,0.12348,-0.00179,38.784,36.603
