timestamp,alpha_outer,alpha_inner,beta_outer,beta_inner,tmax_outer,tmax_inner
2025-07-01 15:15,0.11918,0.11232,0.12174,0.11274,66.028,67.993
2025-07-01 15:30,0.06561,0.082170000000000007,0.068,0.07948,65.69,69.308
2025-07-01 16:00,1.54789,1.22031,1.01856,0.90095,32.819,31.733
2025-07-01 16:15,1.21517,1.1712,0.96872,0.90223,34.321,30.908
2025-07-01 16:30,1.09253,1.14836,0.93644,0.89667,34.455,31.712
2025-07-01 16:45,1.13785,1.10845,0.93829,0.86798,34.08,31.649
2025-07-01 17:00,1.05107,1.10183,0.90921,0.86885,35.581,32.168
2025-07-01 17:15,1.01084,1.07594,0.88217,0.8481,35.329,31.913
2025-07-01 17:30,1.02341,1.05314,0.87449,0.82565,35.12,31.705
2025-07-01 17:45,0.98939,1.00991,0.85227,0.80175,34.71,31.967
2025-07-01 18:00,0.92725,0.98859,0.82276,0.78893,35.324,32.168
2025-07-01 18:15,0.92107000000000006,0.96087,0.80465,0.77107,35.266,32.679
2025-07-01 18:30,0.89239,0.93157,0.77827,0.75027,35.627,32.211
2025-07-01 18:45,0.87414,0.91111,0.75763,0.72989,35.486,32.07
2025-07-01 19:00,0.86539,0.88383,0.75013,0.71938,35.025,31.764
2025-07-01 19:15,0.81588,0.85195,0.71993,0.69315,36.114,31.869
2025-07-01 19:30,0.78981,0.82063,0.69583,0.67206,35.5,31.928
2025-07-01 19:45,0.75289,0.78207,0.66634,0.64852,34.969,31.709
2025-07-01 20:00,0.68968,0.73725,0.62338,0.62212,35.284,31.714
2025-07-01 20:15,0.66516,0.69679,0.60376,0.59278,35.157,31.739
2025-07-01 20:30,0.62538,0.65274,0.55668,0.56314,34.689,31.685
2025-07-01 20:45,0.57332,0.62008,0.52654,0.54186,35.315,30.809
2025-07-01 21:00,0.55128,0.5809,0.50094,0.52054,34.587,31.738
2025-07-01 21:15,0.50832,0.55186,0.47908,0.50105,35.098,30.436
2025-07-01 21:30,0.4981,0.54008,0.46204,0.49516,34.373,30.541
2025-07-01 21:45,0.47864,0.51482000000000006,0.44667,0.48142,33.856,31.112
2025-07-01 22:00,0.43462,0.48959,0.41166,0.46276,34.677,30.586
2025-07-01 22:15,0.44358,0.47805,0.41958,0.44855,34.726,30.223
2025-07-01 22:30,0.40936,0.45142,0.39142,0.43474,35.046,30.385
2025-07-01 22:45,0.40344,0.44728,0.38806,0.43028,34.534,30.442
2025-07-01 23:00,0.41374,0.44368,0.3847,0.42413,33.915,30.912
2025-07-01 23:15,0.4013,0.4353,0.37526,0.42104,34.181,30.191
2025-07-01 23:30,0.37762,0.4224,0.3645,0.41324,35.166,30.505
2025-07-01 23:45,0.36288,0.42002,0.3603,0.41479,34.389,30.814
2025-07-02,0.35202,0.40544,0.34882,0.4039,34.852,30.191
