ID,tree_id,sensor_ID,plot,species,stem_diameter,diam_HFD,heartwood_area,sapwood_area_inner,sapwood_area_outer,bark_depth,basic_density_dry_wood,wood_matrix_specific_heat_capacity,gravimetric_water_content_sapwood,specific_heat_capacity_sap,density_water,k_van
PM_a_PM,71,a,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_b_PM,89,b,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_c_PM,37,c,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_d_PM,24,d,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_e_PM,22,e,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_f_PM,92,f,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_g_PM,91,g,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_h_PM,62,h,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_i_PM,35,i,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
PM_d_PM,38,d,PM,PM,,,,,,,518.8878331,1200,0.901254231,4182,1000,0.002486034
FS_a_FS,135,a,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_b_FS,4,b,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_c_FS,2,c,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_d_FS,136,d,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_e_FS,66,e,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_f_FS,143,f,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_g_FS,79,g,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_h_FS,142,h,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
FS_i_FS,94,i,FS,FS,,,,,,,581.3719714,1200,0.519601239,4182,1000,0.002945057
