"TOA5","WiPm","CR1000","24682","CR1000.Std.31","CPU:Implexx_10_PM-(winnwfeld)_COM111_20250507.CR1","648","Sap_Flow_PM"
"TIMESTAMP","RECORD","Batt_volt","PTemp","TotalSapFlow_a","Vh_Outer_a","Vh_Inner_a","Alpha_Outer_a","Alpha_Inner_a","Beta_Outer_a","Beta_Inner_a","Tmax_Outer_a","Tmax_Inner_a","SapFlow_a","TotalSapFlow_b","Vh_Outer_b","Vh_Inner_b","Alpha_Outer_b","Alpha_Inner_b","Beta_Outer_b","Beta_Inner_b","Tmax_Outer_b","Tmax_Inner_b","SapFlow_b","TotalSapFlow_c","Vh_Outer_c","Vh_Inner_c","Alpha_Outer_c","Alpha_Inner_c","Beta_Outer_c","Beta_Inner_c","Tmax_Outer_c","Tmax_Inner_c","SapFlow_c","TotalSapFlow_d","Vh_Outer_d","Vh_Inner_d","Alpha_Outer_d","Alpha_Inner_d","Beta_Outer_d","Beta_Inner_d","Tmax_Outer_d","Tmax_Inner_d","SapFlow_d","TotalSapFlow_e","Vh_Outer_e","Vh_Inner_e","Alpha_Outer_e","Alpha_Inner_e","Beta_Outer_e","Beta_Inner_e","Tmax_Outer_e","Tmax_Inner_e","SapFlow_e","TotalSapFlow_f","Vh_Outer_f","Vh_Inner_f","Alpha_Outer_f","Alpha_Inner_f","Beta_Outer_f","Beta_Inner_f","Tmax_Outer_f","Tmax_Inner_f","SapFlow_f","TotalSapFlow_g","Vh_Outer_g","Vh_Inner_g","Alpha_Outer_g","Alpha_Inner_g","Beta_Outer_g","Beta_Inner_g","Tmax_Outer_g","Tmax_Inner_g","SapFlow_g","TotalSapFlow_h","Vh_Outer_h","Vh_Inner_h","Alpha_Outer_h","Alpha_Inner_h","Beta_Outer_h","Beta_Inner_h","Tmax_Outer_h","Tmax_Inner_h","SapFlow_h","TotalSapFlow_i","Vh_Outer_i","Vh_Inner_i","Alpha_Outer_i","Alpha_Inner_i","Beta_Outer_i","Beta_Inner_i","Tmax_Outer_i","Tmax_Inner_i","SapFlow_i","TotalSapFlow_j","Vh_Outer_j","Vh_Inner_j","Alpha_Outer_j","Alpha_Inner_j","Beta_Outer_j","Beta_Inner_j","Tmax_Outer_j","Tmax_Inner_j","SapFlow_j"
"TS","RN","","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs","","L/hr","cm/hr","cm/hr","","","","","secs","secs",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-07 10:30:00",1,13.7,20.37,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 10:45:00",2,13.7,20.4,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:00:00",3,13.7,20.21,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:15:00",4,13.7,20,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:30:00",5,13.7,19.86,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:45:00",6,13.7,19.81,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 17:15:00",7,12.94,14.06,0.337,4.76,4.37,0.4213,0.3864,0.36906,0.28068,43.975,45.532,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.233,8.59,59.65,0.76046,0.91498,0.77211,1.05677,35.773,28.637,0,0.281,4.16,3.4,0.36796,0.30109,0.25934,0.1187,38.207,40.328,0,0.19,4.05,0.64,0.35851,0.05666,0.32524,0.0175,40.946,37.525,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 17:30:00",8,12.88,14.23,0.338,4.87,4.28,0.43076,0.3789,0.36367,0.27688,43.249,45.222,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.203,8.77,58.43,0.77645,0.91897,0.78563,1.06852,35.567,28.999,0,0.256,3.71,3.21,0.32798,0.28388,0.23118,0.10703,37.603,39.983,0,0.197,4.2,0.66,0.37174,0.0585,0.33272,0.01043,40.539,37.273,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
