"TOA5","WiPm","CR1000","24682","CR1000.Std.31","CPU:Implexx_10_PM-(winnwfeld)_COM111_20250507.CR1","648","Stem_Data_PM"
"TIMESTAMP","RECORD","Pre_Temp_Down_Outer_a","Max_Temp_Down_Outer_a","Post_Temp_Down_Outer_a","Pre_Temp_Upper_Outer_a","Max_Temp_Upper_Outer_a","Post_Temp_Upper_Outer_a","Pre_Temp_Down_Inner_a","Max_Temp_Down_Inner_a","Post_Temp_Down_Inner_a","Pre_Temp_Upper_Inner_a","Max_Temp_Upper_Inner_a","Post_Temp_Upper_Inner_a","Pre_Temp_Down_Outer_b","Max_Temp_Down_Outer_b","Post_Temp_Down_Outer_b","Pre_Temp_Upper_Outer_b","Max_Temp_Upper_Outer_b","Post_Temp_Upper_Outer_b","Pre_Temp_Down_Inner_b","Max_Temp_Down_Inner_b","Post_Temp_Down_Inner_b","Pre_Temp_Upper_Inner_b","Max_Temp_Upper_Inner_b","Post_Temp_Upper_Inner_b","Pre_Temp_Down_Outer_c","Max_Temp_Down_Outer_c","Post_Temp_Down_Outer_c","Pre_Temp_Upper_Outer_c","Max_Temp_Upper_Outer_c","Post_Temp_Upper_Outer_c","Pre_Temp_Down_Inner_c","Max_Temp_Down_Inner_c","Post_Temp_Down_Inner_c","Pre_Temp_Upper_Inner_c","Max_Temp_Upper_Inner_c","Post_Temp_Upper_Inner_c","Pre_Temp_Down_Outer_d","Max_Temp_Down_Outer_d","Post_Temp_Down_Outer_d","Pre_Temp_Upper_Outer_d","Max_Temp_Upper_Outer_d","Post_Temp_Upper_Outer_d","Pre_Temp_Down_Inner_d","Max_Temp_Down_Inner_d","Post_Temp_Down_Inner_d","Pre_Temp_Upper_Inner_d","Max_Temp_Upper_Inner_d","Post_Temp_Upper_Inner_d","Pre_Temp_Down_Outer_e","Max_Temp_Down_Outer_e","Post_Temp_Down_Outer_e","Pre_Temp_Upper_Outer_e","Max_Temp_Upper_Outer_e","Post_Temp_Upper_Outer_e","Pre_Temp_Down_Inner_e","Max_Temp_Down_Inner_e","Post_Temp_Down_Inner_e","Pre_Temp_Upper_Inner_e","Max_Temp_Upper_Inner_e","Post_Temp_Upper_Inner_e","Pre_Temp_Down_Outer_f","Max_Temp_Down_Outer_f","Post_Temp_Down_Outer_f","Pre_Temp_Upper_Outer_f","Max_Temp_Upper_Outer_f","Post_Temp_Upper_Outer_f","Pre_Temp_Down_Inner_f","Max_Temp_Down_Inner_f","Post_Temp_Down_Inner_f","Pre_Temp_Upper_Inner_f","Max_Temp_Upper_Inner_f","Post_Temp_Upper_Inner_f","Pre_Temp_Down_Outer_g","Max_Temp_Down_Outer_g","Post_Temp_Down_Outer_g","Pre_Temp_Upper_Outer_g","Max_Temp_Upper_Outer_g","Post_Temp_Upper_Outer_g","Pre_Temp_Down_Inner_g","Max_Temp_Down_Inner_g","Post_Temp_Down_Inner_g","Pre_Temp_Upper_Inner_g","Max_Temp_Upper_Inner_g","Post_Temp_Upper_Inner_g","Pre_Temp_Down_Outer_h","Max_Temp_Down_Outer_h","Post_Temp_Down_Outer_h","Pre_Temp_Upper_Outer_h","Max_Temp_Upper_Outer_h","Post_Temp_Upper_Outer_h","Pre_Temp_Down_Inner_h","Max_Temp_Down_Inner_h","Post_Temp_Down_Inner_h","Pre_Temp_Upper_Inner_h","Max_Temp_Upper_Inner_h","Post_Temp_Upper_Inner_h","Pre_Temp_Down_Outer_i","Max_Temp_Down_Outer_i","Post_Temp_Down_Outer_i","Pre_Temp_Upper_Outer_i","Max_Temp_Upper_Outer_i","Post_Temp_Upper_Outer_i","Pre_Temp_Down_Inner_i","Max_Temp_Down_Inner_i","Post_Temp_Down_Inner_i","Pre_Temp_Upper_Inner_i","Max_Temp_Upper_Inner_i","Post_Temp_Upper_Inner_i","Pre_Temp_Down_Outer_j","Max_Temp_Down_Outer_j","Post_Temp_Down_Outer_j","Pre_Temp_Upper_Outer_j","Max_Temp_Upper_Outer_j","Post_Temp_Upper_Outer_j","Pre_Temp_Down_Inner_j","Max_Temp_Down_Inner_j","Post_Temp_Down_Inner_j","Pre_Temp_Upper_Inner_j","Max_Temp_Upper_Inner_j","Post_Temp_Upper_Inner_j","SWC_Outer_a","SWC_Inner_a","Heat_Capacity_Outer_a","Heat_Capacity_Inner_a","Pulse_Energy_a","Pulse_Duration_a","SWC_Outer_b","SWC_Inner_b","Heat_Capacity_Outer_b","Heat_Capacity_Inner_b","Pulse_Energy_b","Pulse_Duration_b","SWC_Outer_c","SWC_Inner_c","Heat_Capacity_Outer_c","Heat_Capacity_Inner_c","Pulse_Energy_c","Pulse_Duration_c","SWC_Outer_d","SWC_Inner_d","Heat_Capacity_Outer_d","Heat_Capacity_Inner_d","Pulse_Energy_d","Pulse_Duration_d","SWC_Outer_e","SWC_Inner_e","Heat_Capacity_Outer_e","Heat_Capacity_Inner_e","Pulse_Energy_e","Pulse_Duration_e","SWC_Outer_f","SWC_Inner_f","Heat_Capacity_Outer_f","Heat_Capacity_Inner_f","Pulse_Energy_f","Pulse_Duration_f","SWC_Outer_g","SWC_Inner_g","Heat_Capacity_Outer_g","Heat_Capacity_Inner_g","Pulse_Energy_g","Pulse_Duration_g","SWC_Outer_h","SWC_Inner_h","Heat_Capacity_Outer_h","Heat_Capacity_Inner_h","Pulse_Energy_h","Pulse_Duration_h","SWC_Outer_i","SWC_Inner_i","Heat_Capacity_Outer_i","Heat_Capacity_Inner_i","Pulse_Energy_i","Pulse_Duration_i","SWC_Outer_j","SWC_Inner_j","Heat_Capacity_Outer_j","Heat_Capacity_Inner_j","Pulse_Energy_j","Pulse_Duration_j"
"TS","RN","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-07 10:30:00",1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 10:45:00",2,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:00:00",3,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:15:00",4,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:30:00",5,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 11:45:00",6,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 17:15:00",7,10.726,0.499,11.171,10.869,0.345,11.161,10.552,0.429,10.942,10.633,0.324,10.898,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",10.928,0.632,11.435,10.917,0.292,11.154,10.667,0.515,11.039,10.584,0.179,10.733,10.208,0.499,10.627,10.098,0.385,10.388,9.895,0.402,10.245,9.774,0.357,10.033,11.168,0.533,11.636,11.231,0.385,11.558,11.119,0.576,11.591,11.29,0.566,11.736,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",24.48,31.77,1864,2169,334.345,3.006,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",16.09,24.31,1513,1857,343.689,3.002,22.81,33.18,1794,2228,321.794,3.002,21.23,18.14,1728,1599,331.027,3.002,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-07 17:30:00",8,10.8,0.492,11.24,10.911,0.342,11.197,10.607,0.43,10.997,10.672,0.326,10.939,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",10.955,0.645,11.468,10.945,0.294,11.181,10.714,0.524,11.09,10.627,0.18,10.777,10.233,0.499,10.655,10.118,0.396,10.422,9.93,0.404,10.282,9.798,0.363,10.063,11.286,0.537,11.753,11.345,0.385,11.667,11.213,0.578,11.688,11.399,0.572,11.847,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",25.46,32.03,1905,2180,336.837,3.002,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",16.02,24.36,1510,1859,350.129,3.001,23.24,33.42,1812,2238,324.911,3.002,21.64,18.69,1745,1622,336.871,3.002,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
