date,year,days_year,month,site,rh_max,rh_min,air_temp_avg,air_temp_max,air_temp_min,rain_tot,e_to_today,timestamp,record,air_temp_t_mx,air_temp_t_mn,dewpoint_temp_avg,dewpoint_temp_max,dewpoint_temp_min,mean_wind_speed,mean_wind_direction,std_dev_wind_dir,windspeed_gust_3s_max,windspeed_gust_3s_t_mx,wind_run_km,solar_mj_tot,sunshine_today,barometric_pressure_avg,barometric_pressure_max,barometric_pressure_min,logger_temp_avg,logger_temp_max,logger_temp_min,battery_volts_max,battery_volts_min
2025-03-25,2025,84,Mar,Winnefeld,96.5,62.99,10.62,15.9,7.157,0,1.455,2025-03-25 00:00:00,2014,NA,NA,8.19,10.39,5.946,0.867,273.3,26.11,6.2,NA,74.75,8.301251,1.056,0,0,0,12.66,19.61,7.983,14.04,12.59
2025-03-25,2025,84,Mar,Winnefeld,98.2,96.3,7.923,8.49,7.178,0,0.001,2025-03-25 00:00:00,2015,NA,NA,7.512,8.1,6.766,1.062,220,6.481,2.45,NA,3.734,2.726065e-5,0,0,0,0,8.68,8.81,8.5,12.77,12.67
2025-03-26,2025,85,Mar,Winnefeld,98.4,69.64,6.541,10.2,4.189,0,NA,2025-03-26 00:00:00,2016,NA,NA,4.872,8.44,2.945,1.842,260.3,30.68,5.95,NA,159,NA,0.944,0,0,0,8.59,14.47,5.062,14.12,12.6
2025-03-27,2025,86,Mar,Winnefeld,99,72.01,6.647,9.5,4.997,1,1,2025-03-27 00:00:00,2017,NA,NA,4.805,6.423,3.146,2.537,317.2,37.61,9.2,NA,209.9,7.256477,0.894,0,0,0,8.79,13.4,5.884,14.08,12.54
2025-03-28,2025,87,Mar,Winnefeld,91.7,41.89,7.537,15.36,2.633,0,2.221,2025-03-28 00:00:00,2018,NA,NA,2.84,5.63,0.346,1.067,291.3,65.53,4.7,NA,92,15.29531,2.7,0,0,0,9.83,19.25,2.838,14.18,12.67
2025-03-29,2025,88,Mar,Winnefeld,96.1,30.22,8.96,18.15,0.469,0,2.626,2025-03-29 00:00:00,2019,NA,NA,2.091,5.924,-0.289,1.158,273.5,65.98,9.7,NA,100,16.88928,2.975,0,0,0,11.12,22.27,0.573,14.21,12.59
2025-03-30,2025,89,Mar,Winnefeld,94.9,42.91,7.861,12.15,3.562,0,1.964,2025-03-30 00:00:00,2020,NA,NA,2.966,6.096,-0.551,3.044,321.9,34.28,9.95,NA,262.2,11.87041,1.917,0,0,0,9.96,16.1,3.955,14.07,12.56
2025-03-31,2025,90,Mar,Winnefeld,96.5,69.8,5.801,9.9,2.592,1.8,0.728,2025-03-31 00:00:00,2021,NA,NA,3.332,6.709,-0.217,2.931,254,28.98,16.45,NA,252.8,3.978923,0.389,0,0,0,6.94,12.59,2.728,14.09,12.65
2025-04-01,2025,91,Apr,Winnefeld,96.2,57.91,6.371,10.5,3.906,1,1.545,2025-04-01 00:00:00,2022,NA,NA,3.152,5.175,1.852,3.034,323.5,26.28,10.95,NA,261.7,10.1526,1.731,0,0,0,8.29,13.78,5.009,14.08,12.61
2025-04-02,2025,92,Apr,Winnefeld,96.8,48.46,6.536,12.1,0.408,0,2.279,2025-04-02 00:00:00,2023,NA,NA,1.783,4.6,-0.358,3.181,53.23,18.5,12.2,NA,274.4,14.84802,2.492,0,0,0,8.51,15.38,0.233,14.17,12.56
